cod_elemento,Latitud,Longitud
203,4.464711,-74.130669
204,4.975916,-73.962213
205,4.689613,-74.014416
206,4.476379,-74.099133
601,4.943706,-73.958761
602,4.795297,-74.288095
603,4.758737,-74.15447
604,5.205025,-73.627644
605,4.936556,-73.978148
606,4.64905,-74.181703
607,4.729646,-74.282991
608,4.75752,-74.07831
609,5.081816,-73.944289
610,4.613816,-74.106599
611,5.451417,-74.636968
612,5.43049,-74.677209
613,5.402102,-74.699286
617,5.09447,-74.498517
619,4.740578,-74.403228
620,5.480241,-74.568396
621,4.93705,-74.982192
635,6.074207,-73.900686
644,6.119173,-73.619375
646,5.796326,-74.25398
2746,4.476775,-73.790976
2994,4.709203,-73.852174
6701,3.868214,-74.199055
6720,4.677492,-73.710232
19706,3.994776,-74.370165
20714,4.704259,-74.170615
20719,5.113528,-73.709808
20732,5.083334,-73.934476
20733,5.086408,-73.935197
20735,4.894622,-74.071197
20742,4.829512,-74.071197
20767,5.041893,-73.85026
20768,5.012715,-73.968533
20785,5.054665,-73.9233
20788,4.887468,-73.964766
20792,4.957906,-73.929635
20793,4.975999,-73.962218
20806,4.590755,-74.244227
20816,5.1096,-73.752672
20939,5.025466,-73.975429
20995,4.975999,-73.962218
21009,4.574497,-74.073903
21036,4.64458,-74.040556
20031,4.718652,-74.085283
21030,4.718734,-74.083637
20058,4.685546,-74.062907
21025,4.685546,-74.062907
20050,4.774338,-73.954915
20196,4.686179,-74.079577
21037,4.678493,-74.076607
20011,4.712848,-73.977455
6032,4.676116,-73.675083
6002,4.807363,-73.739641
20545,4.975916,-73.962213
20111,4.688817,-74.025192
21031,4.69097,-74.025232
6033,4.759236,-73.703429
20065,4.712764,-74.033789
3011,4.488509,-73.743125
6040,4.66863,-73.744433
3012,4.570347,-73.740924
3510,4.538254,-73.759414
3013,4.483022,-73.855941
3511,4.568742,-73.705438
3014,4.633679,-73.721963
3015,4.554528,-73.750395
3016,4.52647,-73.756557
2038,4.65575,-73.833082
6041,4.683001,-73.760735
3017,4.549107,-73.765715
2039,4.634096,-73.886662
20128,4.714615,-73.81882
2040,4.73543,-73.866584
3018,4.681459,-73.78429
3019,4.638627,-73.75441
20008,4.588965,-74.036955
20569,4.628574,-74.091203
20197,4.581518,-74.163765
2009,4.409902,-73.956779
2005,4.442466,-74.044171
2024,4.527456,-73.925669
20013,4.548543,-74.058404
20032,4.616094,-74.052
20024,4.578112,-74.023492
20066,4.647836,-74.043062
20135,4.171233,-74.147796
20023,4.609765,-74.064978
20040,4.644851,-74.040283
20052,4.574043,-74.121842
2041,4.217085,-74.13294
20538,4.642497,-74.155917
20059,4.568163,-74.154106
2042,4.406293,-74.02525
20524,4.573954,-74.072098
20547,4.660247,-74.14486
20198,4.591045,-74.054795
20019,4.338738,-74.144288
20154,4.61351,-74.185001
20020,4.3864,-74.178293
2043,4.04981,-74.128839
20509,4.40404,-74.142537
19510,4.12685,-74.204497
2044,4.08455,-74.224026
19020,3.962645,-74.441739
19013,4.224519,-74.187489
20129,4.22452,-74.187487
2045,4.014712,-74.213485
