TABLE_NAME
aforosAforadores
aforosCalculo
aforosCampo
aforosEcuacionesHelices
aforosHelices
aforosMetodos
aforosMolineteHelice
aforosMolinetes
aforosPuntual
aforosVertical
alerta
cch
cuencasNivel1
cuencasNivel2
cuencasNivel3
cuencasNivel4
datosConfiguracion
datosDiarios
DatosHorario_View
datosHorarios
datosMensuales
datosMultianuales
datosOtros
departamentos
descriptores
dtproperties
elementos
embalses
entidades
esquemaAgregacion
estaciones
flags
funciones
grupos
longitudinalRioBogota
longitudinalRioBogotaDetalle
municipios
nivelesEstacionesManuales
nqCurvas
nqEcuaciones
nqTablas
parametros
plantas
pozos
Results
roles
rolfuncion
sih
sysdiagrams
tanques
tipoestacion
transversalesEstacionesCaudal
transversalesEstacionesEncabezado
transversalesEstacionesLamina
trasversalesEstacionesDetalle
unidades
usuarios
V_niveles_bogota
VIEW1
zonas
