NOM_AH,CategId,CATEGORIA,LandAkm2,Count,Coverkm2,Radiuskm,WMORadkm,WMOCheckRd
Amazonas,AM,Agrometeorológica,343640.934704055,5,68728.186940811,147.9082869982201,75.0,0
Amazonas,CO,Climática Ordinaria,343640.934704055,25,13745.6373881622,66.14659683271368,25.0,0
Amazonas,CP,Climática Principal,343640.934704055,16,21477.55841900344,82.6832460408921,75.0,0
Amazonas,LG,Limnigráfica,343640.934704055,26,13216.95902707904,64.86207461687727,999999.0,1
Amazonas,LM,Limnimétrica,343640.934704055,91,3776.2740077368685,34.67023723024591,999999.0,1
Amazonas,ME,Meteorológica Especial,343640.934704055,1,343640.934704055,330.7329841635684,12.5,0
Amazonas,PG,Pluviográfica,343640.934704055,5,68728.186940811,147.9082869982201,12.5,0
Amazonas,PM,Pluviométrica,343640.934704055,86,3995.8248221401745,35.663854872206464,12.5,0
Amazonas,RS,Radio Sonda,343640.934704055,2,171820.4673520275,233.86353586412227,999999.0,1
Amazonas,SP,Sinóptica Principal,343640.934704055,2,171820.4673520275,233.86353586412227,500.0,1
Amazonas,SS,Sinóptica Secundaria,343640.934704055,1,343640.934704055,330.7329841635684,500.0,1
Caribe,AB,AB,105793.3379089333,1,105793.3379089333,183.5076710897827,999999.0,1
Caribe,AM,Agrometeorológica,105793.3379089333,11,9617.576173539392,55.329644650614384,75.0,1
Caribe,CO,Climática Ordinaria,105793.3379089333,91,1162.564152845421,19.236830902557234,25.0,1
Caribe,CP,Climática Principal,105793.3379089333,73,1449.223806971689,21.47794834363837,75.0,1
Caribe,LG,Limnigráfica,105793.3379089333,113,936.2242292825956,17.262949570263192,999999.0,1
Caribe,LM,Limnimétrica,105793.3379089333,182,581.2820764227105,13.602493579737153,999999.0,1
Caribe,MG,Mareográfica,105793.3379089333,18,5877.407661607405,43.25317287577864,999999.0,1
Caribe,ME,Meteorológica Especial,105793.3379089333,8,13224.167238616663,64.87975931366796,12.5,0
Caribe,PG,Pluviográfica,105793.3379089333,50,2115.8667581786663,25.951903725467183,12.5,0
Caribe,PM,Pluviométrica,105793.3379089333,368,287.4818964916666,9.56599862806611,12.5,1
Caribe,RS,Radio Sonda,105793.3379089333,3,35264.44596964443,105.94820330204735,999999.0,1
