year month day streamflow_m3s qual_control_by_ana qual_flag
1979 02 01 nan nan 0
1979 02 02 nan nan 0
1979 02 03 nan nan 0
1979 02 04 494.000000 1 1
1979 02 05 543.000000 1 1
1979 02 06 588.000000 1 1
1979 02 07 597.000000 1 1
1979 02 08 596.000000 1 1
1979 02 09 559.000000 1 1
1979 02 10 557.000000 1 1
1979 02 11 640.000000 1 1
1979 02 12 690.000000 1 1
1979 02 13 652.000000 1 1
1979 02 14 565.000000 1 1
1979 02 15 498.000000 1 1
1979 02 16 464.000000 1 1
1979 02 17 464.000000 1 1
1979 02 18 472.000000 1 1
1979 02 19 486.000000 1 1
1979 02 20 517.000000 1 1
1979 02 21 559.000000 1 1
1979 02 22 605.000000 1 1
1979 02 23 715.000000 1 1
1979 02 24 860.000000 1 1
1979 02 25 916.000000 1 1
1979 02 26 921.000000 1 1
1979 02 27 899.000000 1 1
1979 02 28 868.000000 1 1
1979 03 01 849.000000 1 1
1979 03 02 829.000000 1 1
1979 03 03 818.000000 1 1
1979 03 04 803.000000 1 1
1979 03 05 797.000000 1 1
1979 03 06 825.000000 1 1
1979 03 07 854.000000 1 1
1979 03 08 876.000000 1 1
1979 03 09 900.000000 1 1
1979 03 10 921.000000 1 1
1979 03 11 936.000000 1 1
1979 03 12 952.000000 1 1
1979 03 13 978.000000 1 1
1979 03 14 986.000000 1 1
1979 03 15 980.000000 1 1
1979 03 16 958.000000 1 1
1979 03 17 921.000000 1 1
1979 03 18 901.000000 1 1
1979 03 19 927.000000 1 1
1979 03 20 955.000000 1 1
1979 03 21 978.000000 1 1
1979 03 22 1003.000000 1 1
1979 03 23 1028.000000 1 1
1979 03 24 1041.000000 1 1
1979 03 25 1055.000000 1 1
1979 03 26 1067.000000 1 1
1979 03 27 1091.000000 1 1
1979 03 28 1107.000000 1 1
1979 03 29 1116.000000 1 1
1979 03 30 1131.000000 1 1
1979 03 31 1157.000000 1 1
1979 04 01 1187.000000 1 1
1979 04 02 1215.000000 1 1
1979 04 03 1231.000000 1 1
1979 04 04 1279.000000 1 1
1979 04 05 1328.000000 1 1
1979 04 06 1346.000000 1 1
1979 04 07 1365.000000 1 1
1979 04 08 1385.000000 1 1
1979 04 09 1379.000000 1 1
1979 04 10 1365.000000 1 1
1979 04 11 1350.000000 1 1
1979 04 12 1335.000000 1 1
1979 04 13 1328.000000 1 1
1979 04 14 1304.000000 1 1
1979 04 15 1288.000000 1 1
1979 04 16 1278.000000 1 1
1979 04 17 1262.000000 1 1
1979 04 18 1253.000000 1 1
1979 04 19 1244.000000 1 1
1979 04 20 1240.000000 1 1
1979 04 21 1233.000000 1 1
1979 04 22 1233.000000 1 1
1979 04 23 1235.000000 1 1
1979 04 24 1242.000000 1 1
1979 04 25 1246.000000 1 1
1979 04 26 1246.000000 1 1
1979 04 27 1249.000000 1 1
1979 04 28 1253.000000 1 1
1979 04 29 1253.000000 1 1
1979 04 30 1251.000000 1 1
1979 05 01 1249.000000 1 1
1979 05 02 1246.000000 1 1
1979 05 03 1240.000000 1 1
1979 05 04 1235.000000 1 1
1979 05 05 1230.000000 1 1
1979 05 06 1226.000000 1 1
1979 05 07 1226.000000 1 1
1979 05 08 1226.000000 1 1
1979 05 09 1221.000000 1 1
1979 05 10 1211.000000 1 1
1979 05 11 1203.000000 1 1
1979 05 12 1190.000000 1 1
1979 05 13 1182.000000 1 1
1979 05 14 1165.000000 1 1
1979 05 15 1140.000000 1 1
1979 05 16 1103.000000 1 1
1979 05 17 1060.000000 1 1
1979 05 18 1011.000000 1 1
1979 05 19 952.000000 1 1
1979 05 20 919.000000 1 1
1979 05 21 888.000000 1 1
1979 05 22 877.000000 1 1
1979 05 23 876.000000 1 1
1979 05 24 872.000000 1 1
1979 05 25 873.000000 1 1
