year month day streamflow_m3s qual_control_by_ana qual_flag
1973 07 01 nan nan 0
1973 07 02 nan nan 0
1973 07 03 nan nan 0
1973 07 04 nan nan 0
1973 07 05 nan nan 0
1973 07 06 nan nan 0
1973 07 07 nan nan 0
1973 07 08 nan nan 0
1973 07 09 nan nan 0
1973 07 10 nan nan 0
1973 07 11 nan nan 0
1973 07 12 nan nan 0
1973 07 13 nan nan 0
1973 07 14 nan nan 0
1973 07 15 nan nan 0
1973 07 16 nan nan 0
1973 07 17 nan nan 0
1973 07 18 52683.785000 1 1
1973 07 19 52343.039000 1 1
1973 07 20 51947.453000 1 1
1973 07 21 51441.914000 1 1
1973 07 22 50884.250000 1 1
1973 07 23 50275.715000 1 1
1973 07 24 49563.113000 1 1
1973 07 25 48911.617000 1 1
1973 07 26 47945.629000 1 1
1973 07 27 47150.887000 1 1
1973 07 28 46469.594000 1 1
1973 07 29 46261.359000 1 1
1973 07 30 46105.609000 1 1
1973 07 31 46157.484000 1 1
1973 08 01 46261.359000 1 1
1973 08 02 46573.957000 1 1
1973 08 03 46626.203000 1 1
1973 08 04 46835.582000 1 1
1973 08 05 47098.234000 1 1
1973 08 06 47309.094000 1 1
1973 08 07 47467.672000 1 1
1973 08 08 47520.613000 1 1
1973 08 09 47520.613000 1 1
1973 08 10 47467.672000 1 1
1973 08 11 47256.316000 1 1
1973 08 12 47098.234000 1 1
1973 08 13 46888.031000 1 1
1973 08 14 46730.813000 1 1
1973 08 15 46626.203000 1 1
1973 08 16 46521.758000 1 1
1973 08 17 46417.477000 1 1
1973 08 18 46261.359000 1 1
1973 08 19 45950.227000 1 1
1973 08 20 45640.563000 1 1
1973 08 21 45281.133000 1 1
1973 08 22 45025.609000 1 1
1973 08 23 44771.098000 1 1
1973 08 24 44416.469000 1 1
1973 08 25 44114.070000 1 1
1973 08 26 43763.090000 1 1
1973 08 27 43414.070000 1 1
1973 08 28 42869.543000 1 1
1973 08 29 41988.820000 1 1
1973 08 30 41698.078000 1 1
1973 08 31 41940.262000 1 1
1973 09 01 42183.434000 1 1
1973 09 02 42183.434000 1 1
1973 09 03 42086.047000 1 1
1973 09 04 41698.078000 1 1
1973 09 05 40977.379000 1 1
1973 09 06 40218.277000 1 1
1973 09 07 39376.094000 1 1
1973 09 08 38637.898000 1 1
1973 09 09 37954.676000 1 1
1973 09 10 37503.914000 1 1
1973 09 11 37101.438000 1 1
1973 09 12 36613.629000 1 1
1973 09 13 36217.863000 1 1
1973 09 14 35564.910000 1 1
1973 09 15 34749.699000 1 1
1973 09 16 33947.637000 1 1
1973 09 17 33199.805000 1 1
1973 09 18 32626.172000 1 1
1973 09 19 32341.971000 1 1
1973 09 20 32059.504000 1 1
1973 09 21 31979.115000 1 1
1973 09 22 32180.350000 1 1
1973 09 23 32422.994000 1 1
1973 09 24 32748.506000 1 1
1973 09 25 33076.293000 1 1
1973 09 26 33323.633000 1 1
1973 09 27 33530.738000 1 1
1973 09 28 33947.637000 1 1
1973 09 29 34707.156000 1 1
1973 09 30 35306.047000 1 1
1973 10 01 35738.219000 1 1
1973 10 02 36393.387000 1 1
1973 10 03 37012.406000 1 1
1973 10 04 37773.918000 1 1
1973 10 05 38409.211000 1 1
1973 10 06 39005.777000 1 1
1973 10 07 39469.055000 1 1
1973 10 08 39842.438000 1 1
1973 10 09 40077.047000 1 1
1973 10 10 40124.086000 1 1
1973 10 11 39983.086000 1 1
1973 10 12 39655.438000 1 1
1973 10 13 39329.672000 1 1
1973 10 14 38729.641000 1 1
1973 10 15 38318.004000 1 1
1973 10 16 37638.746000 1 1
1973 10 17 36746.219000 1 1
1973 10 18 35651.492000 1 1
1973 10 19 34920.227000 1 1
1973 10 20 33822.188000 1 1
1973 10 21 32666.914000 1 1
1973 10 22 31460.027000 1 1
1973 10 23 30284.646000 1 1
1973 10 24 28990.039000 1 1
1973 10 25 27880.293000 1 1
1973 10 26 27157.174000 1 1
1973 10 27 26376.992000 1 1
1973 10 28 25819.521000 1 1
1973 10 29 25270.336000 1 1
1973 10 30 24897.539000 1 1
