year month day streamflow_m3s qual_control_by_ana qual_flag
1995 01 01 42611.270000 0 1
1995 01 02 42829.609000 0 1
1995 01 03 42975.332000 0 1
1995 01 04 43011.785000 0 1
1995 01 05 43011.785000 0 1
1995 01 06 42866.031000 0 1
1995 01 07 42756.797000 0 1
1995 01 08 42574.906000 0 1
1995 01 09 42284.297000 0 1
1995 01 10 41885.559000 0 1
1995 01 11 41235.203000 0 1
1995 01 12 40623.410000 0 1
1995 01 13 39585.281000 0 1
1995 01 14 38695.980000 0 1
1995 01 15 37530.191000 0 1
1995 01 16 36758.176000 0 1
1995 01 17 35746.930000 0 1
1995 01 18 34950.148000 0 1
1995 01 19 34364.234000 0 1
1995 01 20 33952.203000 0 1
1995 01 21 33644.027000 0 1
1995 01 22 33849.398000 0 1
1995 01 23 34020.785000 0 1
1995 01 24 34639.637000 0 1
1995 01 25 35764.301000 0 1
1995 01 26 36688.199000 0 1
1995 01 27 37424.672000 0 1
1995 01 28 38270.984000 0 1
1995 01 29 38979.984000 0 1
1995 01 30 39763.770000 0 1
1995 01 31 40443.926000 0 1
1995 02 01 41055.016000 0 1
1995 02 02 41596.184000 0 1
1995 02 03 41921.770000 0 1
1995 02 04 41957.984000 0 1
1995 02 05 41994.211000 0 1
1995 02 06 42139.188000 0 1
1995 02 07 41957.984000 0 1
1995 02 08 41740.809000 0 1
1995 02 09 41271.262000 0 1
1995 02 10 40695.262000 0 1
1995 02 11 39799.496000 0 1
1995 02 12 39282.332000 0 1
1995 02 13 38695.980000 0 1
1995 02 14 38023.637000 0 1
1995 02 15 37213.863000 0 1
1995 02 16 36653.227000 0 1
1995 02 17 35746.930000 0 1
1995 02 18 34846.563000 0 1
1995 02 19 34398.629000 0 1
1995 02 20 34226.746000 0 1
1995 02 21 33815.145000 0 1
1995 02 22 33132.031000 0 1
1995 02 23 32927.809000 0 1
1995 02 24 32825.816000 0 1
1995 02 25 32588.160000 0 1
1995 02 26 32588.160000 0 1
1995 02 27 32520.342000 0 1
1995 02 28 32452.559000 0 1
1995 03 01 32384.813000 0 1
1995 03 02 32317.104000 0 1
1995 03 03 32723.910000 0 1
1995 03 04 33132.031000 0 1
1995 03 05 33541.465000 0 1
1995 03 06 34192.398000 0 1
1995 03 07 34846.563000 0 1
1995 03 08 35538.625000 0 1
1995 03 09 36653.227000 0 1
