year month day streamflow_m3s qual_control_by_ana qual_flag
1979 02 01 nan nan 0
1979 02 02 nan nan 0
1979 02 03 nan nan 0
1979 02 04 nan nan 0
1979 02 05 nan nan 0
1979 02 06 nan nan 0
1979 02 07 nan nan 0
1979 02 08 nan nan 0
1979 02 09 nan nan 0
1979 02 10 2566.883000 1 1
1979 02 11 2603.394000 1 1
1979 02 12 2612.545000 1 1
1979 02 13 2585.119000 1 1
1979 02 14 2512.408000 1 1
1979 02 15 2422.404000 1 1
1979 02 16 2315.712000 1 1
1979 02 17 2227.915000 1 1
1979 02 18 2158.417000 1 1
1979 02 19 2055.423000 1 1
1979 02 20 1970.761000 1 1
1979 02 21 1920.481000 1 1
1979 02 22 1878.880000 1 1
1979 02 23 1837.556000 1 1
1979 02 24 1870.594000 1 1
1979 02 25 1912.139000 1 1
1979 02 26 2004.497000 1 1
1979 02 27 2098.153000 1 1
1979 02 28 2149.776000 1 1
1979 03 01 2219.191000 1 1
1979 03 02 2298.071000 1 1
1979 03 03 2467.282000 1 1
1979 03 04 2686.107000 1 1
1979 03 05 2872.668000 1 1
1979 03 06 3111.087000 1 1
1979 03 07 3414.522000 1 1
1979 03 08 3797.819000 1 1
1979 03 09 4416.565000 1 1
1979 03 10 4895.839000 1 1
1979 03 11 5310.150000 1 1
1979 03 12 5561.238000 1 1
1979 03 13 5676.516000 1 1
1979 03 14 5757.632000 1 1
1979 03 15 5769.249000 1 1
1979 03 16 5746.023000 1 1
1979 03 17 5711.238000 1 1
1979 03 18 5757.632000 1 1
1979 03 19 5827.435000 1 1
1979 03 20 5874.110000 1 1
1979 03 21 5897.490000 1 1
1979 03 22 5979.539000 1 1
1979 03 23 6109.158000 1 1
1979 03 24 6156.499000 1 1
1979 03 25 6192.077000 1 1
1979 03 26 6192.077000 1 1
1979 03 27 6203.950000 1 1
1979 03 28 6263.417000 1 1
1979 03 29 6358.918000 1 1
1979 03 30 6490.939000 1 1
1979 03 31 6769.602000 1 1
1979 04 01 7027.084000 1 1
1979 04 02 7237.626000 1 1
1979 04 03 7399.884000 1 1
1979 04 04 7575.827000 1 1
1979 04 05 7791.134000 1 1
1979 04 06 7854.804000 1 1
1979 04 07 7905.852000 1 1
1979 04 08 7918.629000 1 1
1979 04 09 7905.852000 1 1
1979 04 10 7854.804000 1 1
1979 04 11 7778.419000 1 1
1979 04 12 7689.587000 1 1
1979 04 13 7550.616000 1 1
1979 04 14 7362.344000 1 1
1979 04 15 7125.930000 1 1
1979 04 16 6953.224000 1 1
1979 04 17 6867.350000 1 1
1979 04 18 7002.438000 1 1
1979 04 19 7175.508000 1 1
1979 04 20 7262.519000 1 1
1979 04 21 7412.410000 1 1
1979 04 22 7651.610000 1 1
1979 04 23 7944.203000 1 1
1979 04 24 8098.165000 1 1
1979 04 25 8356.730000 1 1
1979 04 26 8591.518000 1 1
1979 04 27 8828.249000 1 1
1979 04 28 9000.421000 1 1
1979 04 29 9146.883000 1 1
1979 04 30 9253.846000 1 1
1979 05 01 9361.182000 1 1
1979 05 02 9468.889000 1 1
1979 05 03 9590.501000 1 1
1979 05 04 9671.835000 1 1
1979 05 05 9698.992000 1 1
1979 05 06 9794.223000 1 1
1979 05 07 9876.070000 1 1
1979 05 08 9958.123000 1 1
1979 05 09 10026.655000 1 1
1979 05 10 10095.330000 1 1
1979 05 11 10191.710000 1 1
1979 05 12 10246.907000 1 1
1979 05 13 10302.194000 1 1
1979 05 14 10343.719000 1 1
1979 05 15 10399.162000 1 1
1979 05 16 10468.592000 1 1
1979 05 17 10510.316000 1 1
1979 05 18 10538.160000 1 1
1979 05 19 10552.090000 1 1
1979 05 20 10566.026000 1 1
1979 05 21 10607.866000 1 1
1979 05 22 10663.731000 1 1
1979 05 23 10663.731000 1 1
