dpto_ccdgo,mpio_ccdgo,mpio_cdpmp,clas_ccdgo,setr_ccdgo,setr_ccnct,secr_ccdgo,secr_ccnct,zu_ccdgo,zu_cdivi,zu_cnmbre,zu_ccnct,zu_narea,zu_naltd,zu_nano,shape_Leng,shape_Area,AUrban,CZ_mean
"08","421","08421","1","000","084211000","00","08421100000","000","08421000",LURUACO,"08421100000000",1340837.01768999989,31.00000000000,2024,0.07639015985,0.00011073825,1340063.6070000001,36.5668926478932
"20","238","20238","1","000","202381000","00","20238100000","000","20238000",EL COPEY,"20238100000000",3664658.29546999978,138.00000000000,2024,0.10965604334,0.00030232654,3659790.4430000000,139.215549495302
"20","550","20550","1","000","205501000","00","20550100000","000","20550000",PELAYA,"20550100000000",2654428.02834999980,69.00000000000,2024,0.11289212900,0.00021807443,2650401.6590000000,69.4469908934373
"25","817","25817","1","000","258171000","00","25817100000","000","25817000",TOCANCIPÁ,"25817100000000",1703940.79866999993,2605.00000000000,2024,0.09189205894,0.00013893588,1701632.2050000001,2573.21002741143
"44","560","44560","1","000","445601000","00","44560100000","000","44560000",MANAURE,"44560100000000",5687190.35601000022,4.00000000000,2024,0.14714490923,0.00047132691,5674140.4500000002,4.02292166189754
"44","001","44001","1","000","440011000","00","44001100000","000","44001000","RIOHACHA, DISTRITO ESPECIAL, TURÍSTICO Y CULTURAL","44001100000000",25963647.00390000269,5.00000000000,2024,0.30228112937,0.00215072941,25911814.2300000004,12.8027559458883
"25","843","25843","1","000","258431000","00","25843100000","000","25843000",VILLA DE SAN DIEGO DE UBATÉ,"25843100000000",4387956.26322999969,2607.00000000000,2024,0.12681928775,0.00035796787,4381729.5460000001,2566.14547334003
"08","638","08638","1","000","086381000","00","08638100000","000","08638000",SABANALARGA,"08638100000000",8157869.47190999892,99.00000000000,2024,0.21765357939,0.00067387996,8152013.4450000003,96.0065267619949
"41","615","41615","1","000","416151000","00","41615100000","000","41615000",RIVERA,"41615100000000",2639111.08442000020,691.00000000000,2024,0.08609472833,0.00021455755,2637880.9219999998,706.54881335843
"44","078","44078","1","000","440781000","00","44078100000","000","44078000",BARRANCAS,"44078100000000",7006595.69620999973,156.00000000000,2024,0.16463743789,0.00057923217,6992070.6880000001,157.170894659133
"17","380","17380","1","000","173801000","00","17380100000","000","17380000",LA DORADA,"17380100000000",7650665.86969000101,182.00000000000,2024,0.20010563447,0.00062423866,7644085.3940000003,181.577848834547
"25","377","25377","1","000","253771000","00","25377100000","000","25377000",LA CALERA,"25377100000000",1635147.55954999989,2746.00000000000,2024,0.10549059805,0.00013328052,1632992.5859999999,2711.58385852932
"50","226","50226","1","000","502261000","00","50226100000","000","50226000",CUMARAL,"50226100000000",5816989.36426999979,452.00000000000,2024,0.16932598593,0.00047380728,5807488.5680000000,409.766950854133
"50","606","50606","1","000","506061000","00","50606100000","000","50606000",RESTREPO,"50606100000000",2775160.24872000003,485.00000000000,2024,0.14151645565,0.00022604620,2770770.3080000002,485.266768410941
"73","275","73275","1","000","732751000","00","73275100000","000","73275000",FLANDES,"73275100000000",7442032.81721999962,278.00000000000,2024,0.14823162187,0.00060613859,7436384.3880000003,288.094012934134
"76","834","76834","1","000","768341000","00","76834100000","000","76834000",TULUÁ,"76834100000000",16215095.56010000035,966.00000000000,2024,0.28725124063,0.00131878454,16217511.0999999996,977.786280071417
"13","430","13430","1","000","134301000","00","13430100000","000","13430000",MAGANGUÉ,"13430100000000",34359107.51150000095,49.00000000000,2024,0.32669941764,0.00282686915,34331283.9200000018,24.8138586122965
"25","430","25430","1","000","254301000","00","25430100000","000","25430000",MADRID,"25430100000000",8515402.09535999969,2552.00000000000,2024,0.16775735701,0.00069409495,8505841.5299999993,2550.42283304485
"25","612","25612","1","000","256121000","00","25612100000","000","25612000",RICAURTE,"25612100000000",13501736.29890000075,291.00000000000,2024,0.25543832242,0.00109971942,13491081.2300000004,283.352388677905
"17","495","17495","1","000","174951000","00","17495100000","000","17495000",NORCASIA,"17495100000000",608984.79609099997,751.00000000000,2024,0.05995816052,0.00004969335,608548.7828000000,746.772555033366
"20","001","20001","1","000","200011000","00","20001100000","000","20001000",VALLEDUPAR,"20001100000000",48020936.37759999931,169.00000000000,2024,0.37506187018,0.00396465914,47935576.5300000012,170.963154642873
"05","148","05148","1","000","051481000","00","05148100000","000","05148000",EL CARMEN DE VIBORAL,"05148100000000",3260465.89113999996,2158.90000000000,2024,0.15172525621,0.00026621549,3259073.1140000001,2155.24440610439
"05","001","05001","1","000","050011000","00","05001100000","000","05001000","MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","05001100000000",121352223.91200000048,1500.00000000000,2024,1.22488625997,0.00990927626,121319955.2000000030,1636.30517150258
"63","001","63001","1","000","630011000","00","63001100000","000","63001000",ARMENIA,"63001100000000",32991075.45300000161,1551.00000000000,2024,0.49241994380,0.00268631482,32984701.1700000018,1447.93010380806
"73","001","73001","1","000","730011000","00","73001100000","000","73001000",IBAGUÉ,"73001100000000",49895851.10000000149,1284.00000000000,2024,1.12629587115,0.00406387054,49870271.1199999973,1106.65990764211
"23","001","23001","1","000","230011000","00","23001100000","000","23001000",MONTERÍA,"23001100000000",44166237.72209999710,20.00000000000,2024,0.63235524756,0.00362582101,44162125.9099999964,15.6187875670716
"66","682","66682","1","000","666821000","00","66682100000","000","66682000",SANTA ROSA DE CABAL,"66682100000000",7726066.11718999967,1715.00000000000,2024,0.35811973144,0.00062943355,7724270.7450000001,1667.73698851865
"66","001","66001","1","000","660011000","00","66001100000","000","66001000",PEREIRA,"66001100000000",33913743.26240000129,1411.00000000000,2024,0.79149308730,0.00276236976,33908021.2000000030,1345.97899043155
"95","001","95001","1","000","950011000","00","95001100000","000","95001000",SAN JOSÉ DEL GUAVIARE,"95001100000000",6398452.57698999904,185.00000000000,2024,0.15765961935,0.00051999440,6384429.9560000002,186.62900587972
"76","563","76563","1","000","765631000","00","76563100000","000","76563000",PRADERA,"76563100000000",3090125.90634999983,1064.00000000000,2024,0.09000948958,0.00025112066,3090684.4500000002,1059.1409994404
"68","307","68307","1","000","683071000","00","68307100000","000","68307000",GIRÓN,"68307100000000",9985909.59587999992,777.00000000000,2024,0.42318268424,0.00081711017,9967525.5230000000,719.030004552893
"68","001","68001","1","000","680011000","00","68001100000","000","68001000",BUCARAMANGA,"68001100000000",55487861.06740000099,959.00000000000,2024,0.60699747237,0.00454072211,55384475.4699999988,859.071232262131
"25","320","25320","1","000","253201000","00","25320100000","000","25320000",GUADUAS,"25320100000000",8528453.51046000049,2291.00000000000,2024,0.20901470492,0.00069545158,8520760.2939999998,995.817113030975
"08","296","08296","1","000","082961000","00","08296100000","000","08296000",GALAPA,"08296100000000",10317317.58049999923,77.00000000000,2024,0.38311620413,0.00085307396,10309559.6999999993,59.6342071489925
"66","170","66170","1","000","661701000","00","66170100000","000","66170000",DOSQUEBRADAS,"66170100000000",17080567.10379999876,1700.00000000000,2024,0.49700943366,0.00139137754,17077185.5899999999,1456.46451411123
"52","560","52560","1","000","525601000","00","52560100000","000","52560000",POTOSÍ,"52560100000000",339056.25520499999,2750.00000000000,2024,0.03673988492,0.00002744481,339419.0908000000,2740.71811880716
"70","820","70820","1","000","708201000","00","70820100000","000","70820000",SANTIAGO DE TOLÚ,"70820100000000",8780789.23640000075,9.00000000000,2024,0.41084705669,0.00072257968,8778264.8420000002,4.13507071388155
"13","001","13001","1","000","130011000","00","13001100000","000","13001000","CARTAGENA DE INDIAS, DISTRITO TURÍSTICO Y CULTURAL","13001100000000",83677066.86259999871,2.00000000000,2024,1.09900174952,0.00690408643,83647886.4800000042,11.6240672073492
"05","837","05837","1","000","058371000","00","05837100000","000","05837000","TURBO, DISTRITO PORTUARIO, LOGÍSTICO, INDUSTRIAL, TURÍSTICO Y COMERCIAL","05837100000000",7762738.31477999967,2.00000000000,2024,0.28606233104,0.00063547744,7766369.7800000003,4.14155521487825
"50","568","50568","1","000","505681000","00","50568100000","000","50568000",PUERTO GAITÁN,"50568100000000",4498837.94775000028,149.00000000000,2024,0.19375551286,0.00036605840,4487360.7319999998,157.224505931926
"05","045","05045","1","000","050451000","00","05045100000","000","05045000",APARTADÓ,"05045100000000",6747736.70808999892,25.00000000000,2024,0.28351517715,0.00055220263,6750453.0829999996,32.3094101818032
"05","360","05360","1","000","053601000","00","05360100000","000","05360000",ITAGÜÍ,"05360100000000",12909416.36989999935,1550.00000000000,2024,0.27808617061,0.00105397706,12906243.9499999993,1587.60619330155
"08","573","08573","1","000","085731000","00","08573100000","000","08573000",PUERTO COLOMBIA,"08573100000000",14262610.86079999991,13.00000000000,2024,0.43116965800,0.00117964897,14252044.1300000008,26.1867932446507
