MpCodigo,MpNombre,MpArea,MpNorma,MpCategor,MpAltitud,Restriccio,Depto,ATotal,AUrban,ARural,CZ_mean
"86755",San Francisco,407.59611114900,Decreto No. 2830 de 1989,1,2173,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Putumayo,407596111.1000000238,740313.9259000000,406855797.1000000238,2370.71372588076
"52838",Túquerres,216.51509709500,,1,3051,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,216515097.0000000000,3882020.2200000002,212633076.6999999881,2985.16191023543
"86219",Colón,64.32293555090,Decreto No. 2830 de 1989,1,2100,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Putumayo,64322935.5300000012,1757576.4190000000,62565359.1099999994,2492.23119781946
"52565",Providencia,40.00138595500,Ordenanza No. 34 de 1992,1,2300,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,40001385.9500000030,269899.8982000000,39731486.0499999970,2508.04045805352
"52480",Nariño,25.33619871450,Ordenanza No. 27 de 1999,1,2400,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,25336198.7100000009,337028.1197000000,24999170.5899999999,2600.70007952765
"52036",Ancuya,68.97811108860,,1,1375,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,68978111.0600000024,363787.5822000000,68614323.4699999988,1906.33102638751
"86749",Sibundoy,97.79085126540,Decreto No. 1871 de 1982,1,2137,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Putumayo,97790851.2600000054,2916130.9640000002,94874720.2900000066,2587.83732944198
"18860",Valparaíso,1329.92155788000,Ordenanza No. 03 de 1985,1,225,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,1329921557.0000000000,600196.9164000000,1329321360.0000000000,234.782893220255
"52001",Pasto,1100.29297587000,,1,2559,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,1100292975.0000000000,25326333.5300000012,1074966641.0000000000,2980.35722459597
"18460",Milán,1220.12056809000,,1,207,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,1220120568.0000000000,361926.6166000000,1219758641.0000000000,227.209043203667
"18029",Albania,412.82769384200,,1,270,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,412827693.8000000119,333770.3910000000,412493923.3999999762,261.676253207857
"52683",Sandoná,101.71331712200,,1,1800,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,101713317.0000000000,1756308.5540000000,99957008.4399999976,1931.57886305478
"52435",Mallama,569.81370482400,,1,1809,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,569813704.7000000477,260595.5635000000,569553109.1000000238,2438.39553173344
"52381",La Florida,136.44193326800,,1,2150,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,136441933.0000000000,907957.4626000000,135533975.5000000000,2115.0109178373
"52110",Buesaco,636.44797160200,,1,1960,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,636447971.6000000238,1079926.0190000001,635368045.5000000000,2566.70352536309
"52699",Santacruz,541.27497552000,Ordenanza No. 40 de 1913,1,2500,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,541274975.5000000000,211747.6285000000,541063227.7999999523,1993.76240303056
"86001",Mocoa,1305.26519049000,Decreto No. 0013 de 1958,1,605,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Putumayo,1305265190.0000000000,6897720.7840000000,1298367469.0000000000,1578.29169115629
"52411",Linares,135.77191557200,,1,1450,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,135771915.5000000000,373512.5016000000,135398402.9000000060,1506.22331635135
"52019",Albán,38.63842487960,,1,1700,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,38638424.8500000015,421516.3150000000,38216908.5300000012,1946.34492634105
"52258",El Tablón,307.11094000500,,1,1025,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,307110940.0000000000,220021.6649000000,306890918.3000000119,2770.04965399434
"52240",Chachagüí,146.39866856700,Ordenanza No. 20 de 1992,1,1961,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,146398668.5000000000,966820.4999000001,145431848.0000000000,1885.91694097274
"52051",Arboleda,60.23237842430,,1,2000,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,60232378.4200000018,263640.0415000000,59968738.3699999973,1896.92418725259
"52260",El Tambo,246.54730632100,,1,2200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,246547306.3000000119,1026686.9040000000,245520619.3000000119,1792.92336711143
"18150",Cartagena Del Chairá,12771.38667110000,Ordenanza No. 03 de 1985,1,242,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,12771386671.0000000000,2369580.5940000000,12769017090.0000000000,224.319990590387
"52685",San Bernardo,65.21026401640,Ordenanza No. 023 de 1992,1,2100,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,65210264.0000000000,262527.3477000000,64947736.6499999985,2522.71395394742
"18479",Morelia,462.39668395800,Ordenanza No. 03 de 1985,1,258,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,462396683.8000000119,377826.3966000000,462018857.3999999762,269.687307554195
"18610",San José Del Fragua,1310.24886369000,,1,365,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,1310248863.0000000000,576700.0845000000,1309672162.0000000000,940.837723796862
"19533",Piamonte,1104.95719443000,Ordenanza No. 24 de 1996,1,306,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,1104957194.0000000000,643856.9678000000,1104313337.0000000000,765.946172609417
"52694",San Pedro De Cartago,55.68932308920,Ordenanza No. 25 de 1989,1,1750,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,55689323.0700000003,161462.7689000000,55527860.2999999970,2302.14604688912
"52678",Samaniego,605.72244783600,,1,1450,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,605722447.7000000477,2226964.6170000001,603495483.0000000000,1580.10699562269
