,OBJECTID,CODIGO,altitud,latitud,longitud
count,4499.0,4499.0,4499.0,4499.0,4499.0
mean,2250.0,166485001.35807958,893.7817292731718,5.990608661651478,-74.5582966891576
std,1298.8937600897157,635437742.472112,1007.4707585849663,2.955172708784362,1.7246428856296872
min,1.0,11010010.0,0.0,-4.22252778,-81.73096944
25%,1125.5,21205780.5,90.0,4.08247222,-75.687319445
50%,2250.0,25027220.0,400.0,5.69055556,-74.73211111
75%,3374.5,35017025.0,1572.5,8.141666664999999,-73.35943431
max,4499.0,5601500191.0,5027.0,15.7975,-67.46666667
