,CATEGORIA
Pluviométrica,1706
Limnimétrica,873
Limnigráfica,573
Climática Ordinaria,506
Climática Principal,355
Pluviográfica,190
Meteorológica Especial,153
Agrometeorológica,74
Sinóptica Principal,33
Radio Sonda,14
Mareográfica,11
Sinóptica Secundaria,11
