,OBJECTID,CODIGO,altitud,latitud,longitud
count,4492.0,4492.0,4492.0,4492.0,4492.0
mean,2246.5,162183107.68521816,890.202804986643,5.989761779494658,-74.55819464395147
std,1296.8730341350563,625340648.7710284,1004.5121203454325,2.954316845782974,1.7249497530992972
min,1.0,11010010.0,0.0,-4.22252778,-81.73096944
25%,1123.75,21205757.5,90.0,4.082902775,-75.6869513875
50%,2246.5,25027165.0,400.0,5.69055556,-74.7311
75%,3369.25,35015012.5,1560.25,8.137499997499999,-73.36012368499999
max,4492.0,5601500191.0,5027.0,15.7975,-67.46666667
