,OBJECTID,CODIGO,altitud,latitud,longitud
count,4494.0,4494.0,4494.0,4494.0,4494.0
mean,2247.5,163403319.99888742,890.9450378282154,5.992306096250556,-74.55816053666
std,1297.4503844078201,627870775.0329049,1004.4191693044412,2.9556122691636015,1.724525928682305
min,1.0,11010010.0,0.0,-4.22252778,-81.73096944
25%,1124.25,21205762.5,90.0,4.08333333,-75.686215275
50%,2247.5,25027175.0,400.0,5.6907777799999995,-74.73272222
75%,3370.75,35015027.5,1566.25,8.15,-73.3610195175
max,4494.0,5601500191.0,5027.0,15.7975,-67.46666667
