,AREA_OPERATIVA
Area Operativa 08 - Santanderes-Arauca,0.13469659924427652
Area Operativa 02 - Atlántico-Bolivar-Sucre,0.12269393198488553
Area Operativa 01 - Antioquia-Chocó,0.10535674594354301
Area Operativa 09 - Cauca-Valle-Caldas,0.10002222716159147
Area Operativa 05 - Magdalena-Cesar-Guajira,0.09957768392976217
Area Operativa 06 - Boyacá-Casanare-Vichada,0.08490775727939542
Area Operativa 04 - Huila-Caquetá,0.07712825072238275
Area Operativa 10 - Tolima,0.07379417648366304
Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,0.07246054678817515
Area Operativa 07 - Nariño-Putumayo,0.06579239831073572
Area Operativa 03 - Meta-Guaviare-Guainía,0.06356968215158924
