,AREA_OPERATIVA
Area Operativa 08 - Santanderes-Arauca,605
Area Operativa 02 - Atlántico-Bolivar-Sucre,550
Area Operativa 01 - Antioquia-Chocó,474
Area Operativa 09 - Cauca-Valle-Caldas,449
Area Operativa 05 - Magdalena-Cesar-Guajira,448
Area Operativa 06 - Boyacá-Casanare-Vichada,381
Area Operativa 04 - Huila-Caquetá,347
Area Operativa 10 - Tolima,332
Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,325
Area Operativa 07 - Nariño-Putumayo,295
Area Operativa 03 - Meta-Guaviare-Guainía,286
