,CATEGORIA
Pluviométrica,1704
Limnimétrica,871
Limnigráfica,573
Climática Ordinaria,507
Climática Principal,350
Pluviográfica,193
Meteorológica Especial,146
Agrometeorológica,74
Sinóptica Principal,35
Radio Sonda,14
Mareográfica,11
Sinóptica Secundaria,11
