,CATEGORIA
Pluviométrica,1702
Limnimétrica,873
Limnigráfica,573
Climática Ordinaria,506
Climática Principal,355
Pluviográfica,192
Meteorológica Especial,148
Agrometeorológica,74
Sinóptica Principal,33
Radio Sonda,14
Mareográfica,11
Sinóptica Secundaria,11
