,AREA_OPERATIVA
Area Operativa 08 - Santanderes-Arauca,0.1347738917353531
Area Operativa 02 - Atlántico-Bolivar-Sucre,0.1225217197594119
Area Operativa 01 - Antioquia-Chocó,0.10559144575629316
Area Operativa 05 - Magdalena-Cesar-Guajira,0.09979950991312096
Area Operativa 09 - Cauca-Valle-Caldas,0.09957674314992203
Area Operativa 06 - Boyacá-Casanare-Vichada,0.0848741367787926
Area Operativa 04 - Huila-Caquetá,0.07707730006683003
Area Operativa 10 - Tolima,0.073958565382045
Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,0.07239919803965249
Area Operativa 07 - Nariño-Putumayo,0.06571619514368456
Area Operativa 03 - Meta-Guaviare-Guainía,0.06371129427489419
