ThermalLevelValue,Activa,En Mantenimiento,Suspendida
"Cálido, T>=24°C, <=800meter",1532.0,10.0,1233.0
"Extremadamente Frio, 6°C>T>0°C, <=4700meter",23.0,,16.0
"Frío, 18°C>T>12°C, <=2800meter",412.0,3.0,225.0
"Muy Frío, 12°C>T>6°C, <=3700meter",133.0,,43.0
"Nival, T<0°C, >4700meter",3.0,,1.0
"Templado, 24°C>T>18°C, <=1800meter",547.0,4.0,304.0
