,DEPARTAMENTO,nombre,latitud,longitud,altitud,ThermalLevelValue
1100,Chocó,ANDAGOYA [54020010],5.09766667,-76.6965,62,"Cálido, T>=24°C, <=800meter"
2325,Valle del Cauca,INGENIO MANUELITA [26075050],3.57405556,-76.27780556,159,"Cálido, T>=24°C, <=800meter"
2783,Antioquia,ANGOSTURA [27020040],6.88305556,-75.33247222,1650,"Templado, 24°C>T>18°C, <=1800meter"
967,Antioquia,GOMEZ PLATA [27010160],6.67780556,-75.21980556,1850,"Frío, 18°C>T>12°C, <=2800meter"
4034,Antioquia,ZARAGOZA [27030030],7.48622222,-74.87238889,50,"Cálido, T>=24°C, <=800meter"
259,Meta,AEROPUERTO VANGUARDIA [35035020],4.16191944,-73.61757778,422,"Cálido, T>=24°C, <=800meter"
1868,Boyacá,IZA [24031030],5.6155,-72.97627778,2470,"Frío, 18°C>T>12°C, <=2800meter"
1096,Boyacá,TENZA [35070290],5.08333333,-73.41666667,1507,"Templado, 24°C>T>18°C, <=1800meter"
2050,Huila,AEROPUERTO BENITO SALAS [21115020],2.94875,-75.29305556,439,"Cálido, T>=24°C, <=800meter"
1069,Valle del Cauca,PALMIRA ICA [26075010],3.51347222,-76.31488889,118,"Cálido, T>=24°C, <=800meter"
4392,Bolívar,CARMEN DE BOLIVAR [29015020],9.72,-75.11,152,"Cálido, T>=24°C, <=800meter"
4048,Antioquia,CACERES [26250010],7.57905556,-75.34783333,95,"Cálido, T>=24°C, <=800meter"
1257,Valle del Cauca,BAJO CALIMA [54075020],3.95355556,-76.99044444,66,"Cálido, T>=24°C, <=800meter"
4017,Antioquia,AEROPUERTO GONZALO [12025010],8.11666667,-76.73333333,1,"Cálido, T>=24°C, <=800meter"
917,Antioquia,PUERTO BERRIO [23090080],6.5,-74.4,125,"Cálido, T>=24°C, <=800meter"
263,Santander,AEROPUERTO YARIGUIES [23155030],7.02638889,-73.80861111,126,"Cálido, T>=24°C, <=800meter"
2663,La Guajira,RIOHACHA [15070250],11.53333333,-72.9,5,"Cálido, T>=24°C, <=800meter"
3470,Atlantico,SABANALARGA [29045030],10.63672222,-74.91888889,100,"Cálido, T>=24°C, <=800meter"
3657,Huila,PITALITO [21015010],1.86666667,-76.01666667,1320,"Templado, 24°C>T>18°C, <=1800meter"
4059,Sucre,SAN MARCOS [25020060],8.63333333,-75.13333333,60,"Cálido, T>=24°C, <=800meter"
2660,Cesar,CHIRIGUANA [25025050],9.36102778,-73.59338889,40,"Cálido, T>=24°C, <=800meter"
1750,Casanare,OROCUE [35220020],4.79327778,-71.32911111,130,"Cálido, T>=24°C, <=800meter"
3050,Sucre,AEROPUERTO LA FLORIDA [25025040],8.7,-75.18333333,30,"Cálido, T>=24°C, <=800meter"
1516,Caldas,RIOSUCIO [26175010],5.43333333,-75.7,1810,"Frío, 18°C>T>12°C, <=2800meter"
3733,Huila,ALTAMIRA [21025010],2.06666667,-75.8,180,"Cálido, T>=24°C, <=800meter"
2059,Cauca,SUAREZ [26055030],2.95455556,-76.69611111,195,"Cálido, T>=24°C, <=800meter"
3224,Norte de Santander,TEORAMA [16050250],8.44222222,-73.28527778,1160,"Templado, 24°C>T>18°C, <=1800meter"
344,Cundinamarca,ARRANCAPLUMAS  - AUT [21237020],5.20241667,-74.72761111,222,"Cálido, T>=24°C, <=800meter"
203,Magdalena,EL BANCO - AUT [25027020],8.99252778,-73.96944444,29,"Cálido, T>=24°C, <=800meter"
880,Boyacá,COCUY EL [24031010],6.40822222,-72.44544444,2749,"Frío, 18°C>T>12°C, <=2800meter"
4461,Cesar,GAMARRA  [23217010],8.32,-73.74,35,"Cálido, T>=24°C, <=800meter"
3419,Santander,PUERTO WILCHES [23187010],7.34438889,-73.90505556,66,"Cálido, T>=24°C, <=800meter"
670,Córdoba,LORICA [13080040],9.25,-75.83333333,80,"Cálido, T>=24°C, <=800meter"
2906,Norte de Santander,ALTO VIENTO [16010050],8.16666667,-72.48333333,165,"Cálido, T>=24°C, <=800meter"
169,Antioquia,PUERTO BERRIO - AUT [23097030],6.48513889,-74.40116667,111,"Cálido, T>=24°C, <=800meter"
145,Cundinamarca,PUERTO SALGAR - AUT [23037010],5.46966667,-74.66216667,186,"Cálido, T>=24°C, <=800meter"
345,Santander,BARRANCABERMEJA  - AUT [23157030],7.06019444,-73.876,75,"Cálido, T>=24°C, <=800meter"
3790,Tolima,ALVARADO [21245030],4.56788889,-74.95130556,439,"Cálido, T>=24°C, <=800meter"
783,Santander,CENTRO EL [23155040],6.85955556,-73.76508333,114,"Cálido, T>=24°C, <=800meter"
2592,La Guajira,MAICAO [15080150],11.38333333,-72.25,50,"Cálido, T>=24°C, <=800meter"
2671,La Guajira,PUERTO LOPEZ [15080090],11.93427778,-71.2825,2,"Cálido, T>=24°C, <=800meter"
374,Boyacá,GUAYATA [35070400],4.96666667,-73.48333333,1580,"Templado, 24°C>T>18°C, <=1800meter"
3534,Norte de Santander,TIBU [16035010],8.63833333,-72.72666667,50,"Cálido, T>=24°C, <=800meter"
2667,La Guajira,MANAURE [15075030],11.78105556,-72.4635,1,"Cálido, T>=24°C, <=800meter"
2867,Antioquia,AEROPUERTO OTU [23175020],7.01175,-74.71630556,643,"Cálido, T>=24°C, <=800meter"
2402,Valle del Cauca,CALIPUERTO [26075020],3.43333333,-76.4,930,"Templado, 24°C>T>18°C, <=1800meter"
3392,Santander,AEROPUERTO GOMEZ NINO [23195030],7.13333333,-73.13333333,931,"Templado, 24°C>T>18°C, <=1800meter"
2642,Sucre,AEROPUERTO RAFAEL BARVO [25025080],9.33388889,-75.28305556,166,"Cálido, T>=24°C, <=800meter"
