,nombre,latitud,longitud,altitud,ThermalLevelValue
96,CARTAGO [26127040],4.75761111,-75.89925,937,"Templado, 24°C>T>18°C, <=1800meter"
2394,PASO EL [21215050],4.5,-75.56666667,3264,"Muy Frío, 12°C>T>6°C, <=3700meter"
3363,MATEGUADUA [26107130],4.01522222,-76.15797222,1057,"Templado, 24°C>T>18°C, <=1800meter"
1733,BOCAT RIO PALO [26047020],3.06197222,-76.34877778,1090,"Templado, 24°C>T>18°C, <=1800meter"
457,GALERAZAMBA  - AUT [14015010],10.79416667,-75.26055556,20,"Cálido, T>=24°C, <=800meter"
2954,VILLA ARTEAGA [12010150],7.45,-76.61666667,150,"Cálido, T>=24°C, <=800meter"
3773,AEROPUERTO BUENAVENTUR [53115010],3.82011111,-76.99238889,28,"Cálido, T>=24°C, <=800meter"
1460,POTRERITO [26057030],3.18536111,-76.56930556,1025,"Templado, 24°C>T>18°C, <=1800meter"
3439,INMACULADA LA [26110150],4.79383333,-75.9865,960,"Templado, 24°C>T>18°C, <=1800meter"
2222,VIJES [26080070],3.69852778,-76.42972222,974,"Templado, 24°C>T>18°C, <=1800meter"
1462,MIRANDA 1 [26040040],3.26666667,-76.26666667,160,"Cálido, T>=24°C, <=800meter"
1960,BOCATOMA [26117010],4.35,-76.2,10,"Cálido, T>=24°C, <=800meter"
2066,SAN ANTONIO [26050050],3.23333333,-76.66666667,1600,"Templado, 24°C>T>18°C, <=1800meter"
2289,TIMBA [26057040],3.11711111,-76.62402778,1024,"Templado, 24°C>T>18°C, <=1800meter"
117,LA VIRGINIA - AUT [26177030],4.8925,-75.88269444,922,"Templado, 24°C>T>18°C, <=1800meter"
3976,SALVAJINA LA [26027050],2.95,-76.7,170,"Cálido, T>=24°C, <=800meter"
1303,SILVIA PTA ELECTRI [26020020],2.62466667,-76.34913889,2446,"Frío, 18°C>T>12°C, <=2800meter"
2207,COCONUCO [26010020],2.34336111,-76.4955,2419,"Frío, 18°C>T>12°C, <=2800meter"
1309,PIENDAMO [26020030],2.64269444,-76.53611111,1872,"Frío, 18°C>T>12°C, <=2800meter"
4125,AEROPUERTO EL CARANO [11045010],5.69055556,-76.64377778,75,"Cálido, T>=24°C, <=800meter"
2859,ESCUELA NAVAL CIOH [14015030],10.44722222,-75.51611111,1,"Cálido, T>=24°C, <=800meter"
