,nombre,latitud,longitud,altitud,ThermalLevelValue
3369,PAPAYAL [23190460],7.61555556,-73.64888889,100,"Cálido, T>=24°C, <=800meter"
491,LOMITAS LAS [15060060],10.93516667,-72.68466667,300,"Cálido, T>=24°C, <=800meter"
408,JUGUETE EL [15060070],10.786,-72.76836111,390,"Cálido, T>=24°C, <=800meter"
3169,OCANA [16050050],8.23333333,-73.36666667,1220,"Templado, 24°C>T>18°C, <=1800meter"
1412,PIRAVANTE HACIENDA [21100040],2.73333333,-75.28333333,500,"Cálido, T>=24°C, <=800meter"
2787,ANGELES LOS [23190480],8.09888889,-73.5075,228,"Cálido, T>=24°C, <=800meter"
1632,TOEZ [21055040],2.81666667,-76.08333333,1860,"Frío, 18°C>T>12°C, <=2800meter"
2840,PUENTE PESCADO [37047020],6.98333333,-71.96666667,210,"Cálido, T>=24°C, <=800meter"
395,VERTEDERO PAIPA [24037330],5.76666667,-73.11666667,2500,"Frío, 18°C>T>12°C, <=2800meter"
515,SAN ALBERTO [23190500],7.75972222,-73.38833333,134,"Cálido, T>=24°C, <=800meter"
2421,CABRERA LA [23060270],5.13333333,-74.15,20,"Cálido, T>=24°C, <=800meter"
716,APOSENTOS [24030570],6.06208333,-72.63533333,2328,"Frío, 18°C>T>12°C, <=2800meter"
504,PUEBLITO EL HACIENDA [15065020],10.98333333,-73.11666667,585,"Cálido, T>=24°C, <=800meter"
572,LAGUNITAS [15060040],11.03436111,-72.87752778,900,"Templado, 24°C>T>18°C, <=1800meter"
3471,PAMPLONA [28010280],10.65,-72.85,690,"Cálido, T>=24°C, <=800meter"
599,JUANA VIEJA [15040020],11.11666667,-73.05,1100,"Templado, 24°C>T>18°C, <=1800meter"
2865,NUEVO HORIZONTE [28030200],10.45,-73.23333333,195,"Cálido, T>=24°C, <=800meter"
3587,NEMIZAQUE [24027030],6.22944444,-73.17166667,1308,"Templado, 24°C>T>18°C, <=1800meter"
2124,VEGA EL SALADO  - AUT [21057050],2.33144444,-75.94216667,1150,"Templado, 24°C>T>18°C, <=1800meter"
315,PARQUE ARQUEOLOGICO - AUT [21015030],1.88847222,-76.29497222,1800,"Templado, 24°C>T>18°C, <=1800meter"
3012,CACHIRI  - AUT [23195200],7.47388889,-72.99111111,1850,"Frío, 18°C>T>12°C, <=2800meter"
2927,ESPINO EL [23197320],7.21666667,-73.05,150,"Cálido, T>=24°C, <=800meter"
740,JERICO [24030580],6.14147222,-72.59333333,2962,"Muy Frío, 12°C>T>6°C, <=3700meter"
4001,SAJANDI [52025040],2.08333333,-77.01666667,730,"Cálido, T>=24°C, <=800meter"
2899,SAN JOAQUIN [16020270],8.2,-72.5,110,"Cálido, T>=24°C, <=800meter"
2572,ITACA [15070170],11.43333333,-72.55,85,"Cálido, T>=24°C, <=800meter"
2571,AEROPUERTO MAICAO [15085010],11.4,-72.25,53,"Cálido, T>=24°C, <=800meter"
2567,ESCUELA CEURA [15070160],11.43775,-72.46997222,85,"Cálido, T>=24°C, <=800meter"
912,PUENTE CABRA [24027040],6.52916667,-73.00777778,1700,"Templado, 24°C>T>18°C, <=1800meter"
67,PUENTE RICAURTE - AUT [21057030],2.52,-75.96,1140,"Templado, 24°C>T>18°C, <=1800meter"
1221,BOCATOMA [21057040],2.56666667,-76.06666667,1550,"Templado, 24°C>T>18°C, <=1800meter"
1375,PUENTE CERTEGUI [11037020],5.37475,-76.61325,77,"Cálido, T>=24°C, <=800meter"
1411,TALAGA EL CRUCERO [21050120],2.73333333,-76.06666667,1555,"Templado, 24°C>T>18°C, <=1800meter"
2292,ZULUAGA [21065040],2.2525,-75.52944444,1270,"Templado, 24°C>T>18°C, <=1800meter"
1174,SAN FRANCISCO [26110160],4.68486111,-76.03572222,974,"Templado, 24°C>T>18°C, <=1800meter"
503,CRUZ LA HACIENDA [15060030],10.96666667,-72.76666667,195,"Cálido, T>=24°C, <=800meter"
2166,ISUGU [26110230],4.41866667,-76.10052778,933,"Templado, 24°C>T>18°C, <=1800meter"
1811,REINA LA [26137120],4.86666667,-75.61666667,1630,"Templado, 24°C>T>18°C, <=1800meter"
3621,SEVILLA [21015020],1.82483333,-76.13027778,1320,"Templado, 24°C>T>18°C, <=1800meter"
3367,CAOBO EL [23190510],7.59555556,-73.3275,300,"Cálido, T>=24°C, <=800meter"
3622,BOLIVAR [52025010],1.82994444,-77.00402778,1510,"Templado, 24°C>T>18°C, <=1800meter"
3304,PALMERAS HACIENDA [23190470],7.55,-73.53333333,130,"Cálido, T>=24°C, <=800meter"
2200,JAGUA LA [21030090],2.20294444,-75.67772222,755,"Cálido, T>=24°C, <=800meter"
4380,SANTA LETICIA [21055030],2.24,-76.16,2085,"Frío, 18°C>T>12°C, <=2800meter"
2871,LLANO GRANDE  - AUT [23195110],7.02555556,-73.16722222,777,"Cálido, T>=24°C, <=800meter"
2653,SIAPANA [15080040],12.06947222,-71.3185,145,"Cálido, T>=24°C, <=800meter"
1208,CASIL EL [21107030],2.54477778,-75.30155556,1260,"Templado, 24°C>T>18°C, <=1800meter"
3509,CAMELIA LA [26120120],4.33155556,-75.83483333,1240,"Templado, 24°C>T>18°C, <=1800meter"
2661,NAZARETH [15085020],12.17888889,-71.28388889,85,"Cálido, T>=24°C, <=800meter"
1415,HIDROELECTRICA [21087040],2.71,-75.57,740,"Cálido, T>=24°C, <=800meter"
2732,NUEVO AMBIENTE [15070020],12.34391667,-71.81919444,39,"Cálido, T>=24°C, <=800meter"
2660,SIPANAO [15087020],12.13333333,-71.25,90,"Cálido, T>=24°C, <=800meter"
4385,PAICOL - AUT [21057060],2.46,-75.76,785,"Cálido, T>=24°C, <=800meter"
2733,PUERTO ESTRELLA [15080010],12.34530556,-71.31197222,5,"Cálido, T>=24°C, <=800meter"
2659,SIPANAO [15080020],12.11936111,-71.26869444,100,"Cálido, T>=24°C, <=800meter"
2638,RANCHO GRANDE [15085040],11.68605556,-71.83305556,50,"Cálido, T>=24°C, <=800meter"
2728,BUENOS AIRES [15070060],12.27341667,-71.41588889,40,"Cálido, T>=24°C, <=800meter"
252,AEROPUERTO A BONILLA [26075040],3.53668889,-76.38663889,970,"Templado, 24°C>T>18°C, <=1800meter"
2878,LOMA CORREDOR [23197380],8.11666667,-73.78333333,101,"Cálido, T>=24°C, <=800meter"
608,VIJAGUAL [23187060],7.85,-73.81666667,56,"Cálido, T>=24°C, <=800meter"
2663,KAURAQUIMANA [15070080],12.21836111,-71.45869444,35,"Cálido, T>=24°C, <=800meter"
2645,HUIMPECHT [15080050],11.63333333,-72.0,10,"Cálido, T>=24°C, <=800meter"
2658,TAPARAJIN [15080030],12.06666667,-71.56666667,35,"Cálido, T>=24°C, <=800meter"
3143,SOGAMOSO ABAJO-MAL [23187070],7.25,-73.93333333,60,"Cálido, T>=24°C, <=800meter"
4463,CARRIZAL [15070100],12.0,-72.18,5,"Cálido, T>=24°C, <=800meter"
1659,SAN CRISTOBAL [24035300],5.59691667,-73.18772222,2700,"Frío, 18°C>T>12°C, <=2800meter"
2664,CARIMAYA [15070050],12.2,-71.73333333,50,"Cálido, T>=24°C, <=800meter"
4014,JASAY [15080080],11.79041667,-71.96472222,35,"Cálido, T>=24°C, <=800meter"
2650,SILLAMANA [15080070],11.89941667,-71.51588889,115,"Cálido, T>=24°C, <=800meter"
2577,CARACAS HACIENDA [15070150],11.48213889,-72.55897222,80,"Cálido, T>=24°C, <=800meter"
361,GUAYATA LA GRANJA [35070110],4.97608333,-73.49930556,1580,"Templado, 24°C>T>18°C, <=1800meter"
2655,PERPANA [15070090],12.08855556,-71.81930556,65,"Cálido, T>=24°C, <=800meter"
4085,SOGAMOSO ARRIBA-CO [23157040],7.18333333,-73.91666667,74,"Cálido, T>=24°C, <=800meter"
1402,BOCATOMA [21087050],2.70516667,-75.62069444,1250,"Templado, 24°C>T>18°C, <=1800meter"
2913,SOGAMOSO [24057020],7.2,-73.86666667,85,"Cálido, T>=24°C, <=800meter"
736,SARAVENA  - AUT [37045010],6.94638889,-71.89055556,148,"Cálido, T>=24°C, <=800meter"
2022,SARA LA [29060230],10.83622222,-74.16102778,25,"Cálido, T>=24°C, <=800meter"
833,PUENTE LLANO [24027050],6.285,-73.12611111,1280,"Templado, 24°C>T>18°C, <=1800meter"
3227,PLAYA LA [11155010],8.53333333,-77.28333333,2,"Cálido, T>=24°C, <=800meter"
2029,SOCORRO EL [21127020],2.95425,-75.52105556,866,"Templado, 24°C>T>18°C, <=1800meter"
1536,COROZAL [26120130],4.40277778,-75.91541667,1178,"Templado, 24°C>T>18°C, <=1800meter"
2639,PAJARO EL [15070130],11.70947222,-72.67641667,2,"Cálido, T>=24°C, <=800meter"
1548,SUIZA LA [26147110],4.91666667,-75.88333333,900,"Templado, 24°C>T>18°C, <=1800meter"
3298,RIO NUEVO [25027630],8.80972222,-74.25444444,23,"Cálido, T>=24°C, <=800meter"
2654,SANTANA URRAICH [15070010],12.08658333,-72.05019444,30,"Cálido, T>=24°C, <=800meter"
2565,CARRAIPIA [15087010],11.23411111,-72.35880556,110,"Cálido, T>=24°C, <=800meter"
2314,PALMAR EL [21210220],4.58011111,-75.32566667,2200,"Frío, 18°C>T>12°C, <=2800meter"
2656,IRRAIPA [15070070],12.12636111,-71.95227778,65,"Cálido, T>=24°C, <=800meter"
2657,AHUYAMA [15070120],11.86608056,-72.27882778,5,"Cálido, T>=24°C, <=800meter"
2541,PUERRES [52050120],0.88825,-77.50291667,2817,"Muy Frío, 12°C>T>6°C, <=3700meter"
2742,PORTETE JAYARIMA [15070040],12.35,-71.71666667,50,"Cálido, T>=24°C, <=800meter"
1734,SAN LUIS [21130040],3.08063889,-75.48466667,1140,"Templado, 24°C>T>18°C, <=1800meter"
3432,RIO VIEJO [23207060],8.58333333,-73.83333333,37,"Cálido, T>=24°C, <=800meter"
2666,CABO DE LA VELA [15075020],12.21666667,-72.18333333,5,"Cálido, T>=24°C, <=800meter"
2637,MAYAPO [15070140],11.65027778,-72.78675,3,"Cálido, T>=24°C, <=800meter"
2648,JOJONCITO [15070110],11.81144444,-71.96530556,120,"Cálido, T>=24°C, <=800meter"
3901,CHIMBORAZO [29060370],10.73333333,-74.33333333,25,"Cálido, T>=24°C, <=800meter"
1080,JUNTAS LAS [21210020],4.55630556,-75.32163889,1765,"Templado, 24°C>T>18°C, <=1800meter"
756,PUENTE FERROCARRIL [23147020],6.77361111,-73.935,90,"Cálido, T>=24°C, <=800meter"
4020,BAHIA HONDA [15075010],12.31388611,-71.79644722,10,"Cálido, T>=24°C, <=800meter"
898,PUENTE ARCO [24027060],6.47861111,-73.07361111,1223,"Templado, 24°C>T>18°C, <=1800meter"
1310,PUENTE MOMICO [21077010],2.61666667,-75.48333333,533,"Cálido, T>=24°C, <=800meter"
1030,CERINZA [24030590],5.96225,-72.9385,2643,"Frío, 18°C>T>12°C, <=2800meter"
30,PUENTE BALSEADERO [21047010],2.23236111,-75.64855556,688,"Cálido, T>=24°C, <=800meter"
693,SANTA MARIA  - AUT [21127030],2.97177778,-75.59244444,1270,"Templado, 24°C>T>18°C, <=1800meter"
3871,CAMPAMENTO [26197010],5.68133333,-75.87558333,1228,"Templado, 24°C>T>18°C, <=1800meter"
3776,REMOLINO EL [26197030],5.85641667,-75.9145,1600,"Templado, 24°C>T>18°C, <=1800meter"
529,PALMIRA HACIENDA  - AUT [26247010],7.79677778,-75.37252778,80,"Cálido, T>=24°C, <=800meter"
2564,REMEDIOS LOS [15060010],11.38177778,-72.9135,10,"Cálido, T>=24°C, <=800meter"
2566,CAMARONES [15050010],11.42883333,-73.05272222,5,"Cálido, T>=24°C, <=800meter"
1506,SAN MARCOS [26105150],4.23891667,-76.03305556,1011,"Templado, 24°C>T>18°C, <=1800meter"
4078,PALITO [25020570],8.95,-75.03333333,25,"Cálido, T>=24°C, <=800meter"
1990,SANTA MARIA [21125010],2.93569444,-75.58905556,1300,"Templado, 24°C>T>18°C, <=1800meter"
845,CIMITARRA [23120180],6.31666667,-73.95,200,"Cálido, T>=24°C, <=800meter"
1712,GUAMAL EL [22077060],4.17136111,-75.2745,695,"Cálido, T>=24°C, <=800meter"
4021,SAN FRANCISCO [15070030],12.31666667,-71.5,25,"Cálido, T>=24°C, <=800meter"
1726,HATO MILAGRO [21110040],3.07488889,-75.16841667,548,"Cálido, T>=24°C, <=800meter"
3943,SAN PEDRO [21130070],3.25,-75.45,850,"Templado, 24°C>T>18°C, <=1800meter"
1775,ESCALERAS [35097070],5.49194444,-72.9385,32,"Cálido, T>=24°C, <=800meter"
3913,ROSALES LOS HACIENDA [15035010],11.21666667,-73.45,80,"Cálido, T>=24°C, <=800meter"
1046,PUENTE SOTO [26207010],6.01666667,-75.81666667,1550,"Templado, 24°C>T>18°C, <=1800meter"
670,ANCHO [15037010],11.20505556,-73.46130556,50,"Cálido, T>=24°C, <=800meter"
684,BUENA FE LA [15065060],11.21666667,-72.83333333,50,"Cálido, T>=24°C, <=800meter"
1425,RIVERA-CUCOLANDIA [21110210],2.76666667,-75.23333333,600,"Cálido, T>=24°C, <=800meter"
190,LA CABANA - AUT [16057030],8.19780556,-73.31825,1220,"Templado, 24°C>T>18°C, <=1800meter"
3886,PUENTE ABREGO - AUT [16047010],8.04333333,-73.08305556,1430,"Templado, 24°C>T>18°C, <=1800meter"
162,BOLOMBOLO [26207080],5.97,-75.84,1750,"Templado, 24°C>T>18°C, <=1800meter"
422,CNO GRANDE [23197350],7.63333333,-73.58333333,770,"Cálido, T>=24°C, <=800meter"
3087,DORADA LA [28010390],10.5,-73.11666667,140,"Cálido, T>=24°C, <=800meter"
2582,DORADA LA [23190520],7.99555556,-73.43972222,271,"Cálido, T>=24°C, <=800meter"
1831,PALERMO [21127010],2.90408333,-75.44333333,535,"Cálido, T>=24°C, <=800meter"
1822,TOTUMO EL [21120090],2.87033333,-75.49097222,700,"Cálido, T>=24°C, <=800meter"
2642,RIOHACHA [15065080],11.53333333,-72.9,5,"Cálido, T>=24°C, <=800meter"
3019,APAVI [26247030],7.47097222,-75.32802778,102,"Cálido, T>=24°C, <=800meter"
1671,BOCATOMA [21117040],3.03333333,-75.21666667,450,"Cálido, T>=24°C, <=800meter"
2024,PALACIO-VEGALARGA [21115100],2.94263889,-75.06638889,1100,"Templado, 24°C>T>18°C, <=1800meter"
1696,LEGIOSA LA [21145070],3.31102778,-74.70288889,1476,"Templado, 24°C>T>18°C, <=1800meter"
3890,QUINCE LETRAS - AUT [16057040],8.54111111,-73.24611111,360,"Cálido, T>=24°C, <=800meter"
3867,SILVANIA,4.40305556,-74.38530556,1480,"Templado, 24°C>T>18°C, <=1800meter"
1750,NILO [21190210],4.30588889,-74.64866667,322,"Cálido, T>=24°C, <=800meter"
773,PUENTE PESCADERO [24037350],6.8,-73.05,2860,"Muy Frío, 12°C>T>6°C, <=3700meter"
2047,SALERO EL [21190300],4.23452778,-74.60663889,650,"Cálido, T>=24°C, <=800meter"
1890,MELGAR [21197100],4.2,-74.65,400,"Cálido, T>=24°C, <=800meter"
4065,PUENTE TARRA [16047020],8.58861111,-73.08111111,140,"Cálido, T>=24°C, <=800meter"
1509,ROVIRA 2 [21180040],4.2425,-75.2425,848,"Templado, 24°C>T>18°C, <=1800meter"
1243,ORTEGA [22060070],3.93916667,-75.21994444,388,"Cálido, T>=24°C, <=800meter"
3260,PARIS DE FRANCIA [28010370],10.30708333,-73.32544444,180,"Cálido, T>=24°C, <=800meter"
1875,VALLE DE SAN JUAN [21180210],4.19197222,-75.11288889,582,"Cálido, T>=24°C, <=800meter"
1268,LA BOCA,4.70427778,-73.4775,1684,"Templado, 24°C>T>18°C, <=1800meter"
1179,SANTA BARBARA [35067120],4.66666667,-73.51666667,1542,"Templado, 24°C>T>18°C, <=1800meter"
1438,CORAZON EL [22070020],4.1,-75.33333333,690,"Cálido, T>=24°C, <=800meter"
2765,ALTO SATOCA [37047010],6.9,-71.81666667,196,"Cálido, T>=24°C, <=800meter"
1341,SUAREZ [21180160],4.05594444,-74.8415,319,"Cálido, T>=24°C, <=800meter"
1231,SAN ANTONIO QUINTA [22065040],3.90691667,-75.48808333,1448,"Templado, 24°C>T>18°C, <=1800meter"
2187,CORINTO [26040250],3.17911111,-76.24769444,1107,"Templado, 24°C>T>18°C, <=1800meter"
703,RIOGRANDE [12010140],7.93333333,-76.63333333,5,"Cálido, T>=24°C, <=800meter"
516,TORMENTO EL [12010010],7.76638889,-76.85527778,20,"Cálido, T>=24°C, <=800meter"
2951,ESTABLO EL [23187140],7.43333333,-73.48333333,100,"Cálido, T>=24°C, <=800meter"
1713,GALICIA [26100410],4.17188889,-76.05638889,1191,"Templado, 24°C>T>18°C, <=1800meter"
2076,SAN RAFAEL [24037430],5.78333333,-73.0,2480,"Frío, 18°C>T>12°C, <=2800meter"
1433,PARDO [26100700],4.08725,-76.10080556,1314,"Templado, 24°C>T>18°C, <=1800meter"
2026,CATALINA LA [26020160],2.94516667,-76.65175,1441,"Templado, 24°C>T>18°C, <=1800meter"
409,POLY LA [29060220],10.81666667,-74.18333333,24,"Cálido, T>=24°C, <=800meter"
2141,GUACARI [26090630],3.77013889,-76.33194444,990,"Templado, 24°C>T>18°C, <=1800meter"
532,VILLA DEL ROSARIO [16010010],7.81777778,-72.47777778,522,"Cálido, T>=24°C, <=800meter"
3924,COLEGIO EL [26087100],3.46666667,-76.56666667,198,"Cálido, T>=24°C, <=800meter"
2354,SAN RAFAEL  - AUT [24037190],5.80761111,-73.01380556,2500,"Frío, 18°C>T>12°C, <=2800meter"
340,CARRASPOSO  - AUT [21147030],3.32752778,-74.86691667,730,"Cálido, T>=24°C, <=800meter"
1466,PUENTE CARRETERA  - AUT [21137030],3.26341667,-75.25097222,385,"Cálido, T>=24°C, <=800meter"
1707,CARMEN DE APICALA [21190290],4.16102778,-74.71311111,321,"Cálido, T>=24°C, <=800meter"
2249,CLARAVAL [35060210],4.65025,-73.64144444,2100,"Frío, 18°C>T>12°C, <=2800meter"
1354,VEGA LA SAN JUAN [35060120],4.72330556,-73.47055556,1791,"Templado, 24°C>T>18°C, <=1800meter"
1537,PUENTE CARRETERA [21217120],4.40286111,-75.29252778,1156,"Templado, 24°C>T>18°C, <=1800meter"
2247,CORRALITOS [21237040],4.64638889,-74.65944444,398,"Cálido, T>=24°C, <=800meter"
1906,BACHE [21127040],3.16666667,-75.3,399,"Cálido, T>=24°C, <=800meter"
3931,PAJARITO VILLA MAR [35195040],5.28333333,-72.7,1100,"Templado, 24°C>T>18°C, <=1800meter"
3958,MAMBITA [35067140],4.78333333,-73.31666667,518,"Cálido, T>=24°C, <=800meter"
1261,PALOMAS LAS [35060140],4.70491667,-73.44488889,23,"Cálido, T>=24°C, <=800meter"
1260,TEMBLADARES [35060150],4.70486111,-73.66527778,2878,"Muy Frío, 12°C>T>6°C, <=3700meter"
1100,PAEZ [35085030],5.1,-73.05,1475,"Templado, 24°C>T>18°C, <=1800meter"
1366,VEGA LA [35067100],4.73333333,-73.48333333,1400,"Templado, 24°C>T>18°C, <=1800meter"
2300,ANCHIQUE [21137040],3.56747222,-75.14197222,328,"Cálido, T>=24°C, <=800meter"
1486,TRES ESQUINAS [35060230],4.78141667,-73.48905556,1943,"Frío, 18°C>T>12°C, <=2800meter"
1430,OSPINA PEREZ [21190240],4.08161111,-74.48872222,1450,"Templado, 24°C>T>18°C, <=1800meter"
2157,JUNTAS [21217190],4.6,-75.35,1760,"Templado, 24°C>T>18°C, <=1800meter"
1792,PUENTE CARRETERA [35047030],4.31245,-73.41238056,389,"Cálido, T>=24°C, <=800meter"
2406,TRES ESQUINAS [21217130],4.53333333,-75.33333333,1221,"Templado, 24°C>T>18°C, <=1800meter"
2011,SITIO PRESA [35070450],4.9,-73.3,1210,"Templado, 24°C>T>18°C, <=1800meter"
2004,TASAJERAS [35060170],4.88569444,-73.60036111,2502,"Frío, 18°C>T>12°C, <=2800meter"
332,PIEDRAS  - AUT [21227010],4.535225,-74.88053056,384,"Cálido, T>=24°C, <=800meter"
2285,PUENTE SAN FRANCISCO  - AUT [21257070],5.01991667,-74.89088889,2875,"Muy Frío, 12°C>T>6°C, <=3700meter"
1454,POTRERITO [26055050],3.24319444,-76.59241667,125,"Cálido, T>=24°C, <=800meter"
423,IDEMA-MONTECRISANTO [12015030],7.65,-76.68333333,40,"Cálido, T>=24°C, <=800meter"
1161,LOZANIA [21165030],3.89791667,-74.77152778,394,"Cálido, T>=24°C, <=800meter"
1257,BOCATOMA [21247050],4.69205556,-74.95813889,420,"Cálido, T>=24°C, <=800meter"
1899,GAITANIA [22027020],3.12605556,-75.65569444,1225,"Templado, 24°C>T>18°C, <=1800meter"
2750,ANIL EL [11117010],6.87388889,-76.14958333,650,"Cálido, T>=24°C, <=800meter"
510,ESCUELA AGRICOLA CACHIRA [23195180],7.73527778,-73.05166667,1882,"Frío, 18°C>T>12°C, <=2800meter"
2850,TERESITA LA [11125010],7.0,-77.5,50,"Cálido, T>=24°C, <=800meter"
3314,ARBOLETES [12045010],8.84694444,-76.43194444,4,"Cálido, T>=24°C, <=800meter"
918,PASO REAL [26207090],6.51666667,-75.81666667,384,"Cálido, T>=24°C, <=800meter"
1894,PLAYA LA [26125110],4.21666667,-75.76666667,1524,"Templado, 24°C>T>18°C, <=1800meter"
75,PUENTE LLERAS - AUT [35017020],4.10301944,-72.93638333,177,"Cálido, T>=24°C, <=800meter"
4319,CARMELO EL [12030020],8.62,-76.38,50,"Cálido, T>=24°C, <=800meter"
1675,CANAL FORTALECILLA [21117070],3.03333333,-75.21666667,450,"Cálido, T>=24°C, <=800meter"
3433,VILLARTEAGA [12015010],7.33466667,-76.48602778,132,"Cálido, T>=24°C, <=800meter"
1172,ALCALA [26120150],4.67647222,-75.78630556,1261,"Templado, 24°C>T>18°C, <=1800meter"
3934,BOCATOMA [21247040],4.69205556,-74.95813889,420,"Cálido, T>=24°C, <=800meter"
1518,GIRARDOT  2 [21237030],4.28333333,-74.81666667,257,"Cálido, T>=24°C, <=800meter"
3937,ARGELIA EL RECREO [54035020],4.73333333,-76.11666667,1600,"Templado, 24°C>T>18°C, <=1800meter"
3362,HONDA LA [11130020],7.57666667,-77.12555556,5,"Cálido, T>=24°C, <=800meter"
606,SAUTATA [11135010],7.85,-77.11666667,2,"Cálido, T>=24°C, <=800meter"
4027,MURINDO [11105010],6.96666667,-76.75,23,"Cálido, T>=24°C, <=800meter"
3040,SAN JUAN DE URABA [12030010],8.75522222,-76.53305556,4,"Cálido, T>=24°C, <=800meter"
2025,SALVAJINA LA [26030150],2.94333333,-76.70694444,1171,"Templado, 24°C>T>18°C, <=1800meter"
1888,SILENCIOSO EL [26050270],3.11563889,-76.71941667,1156,"Templado, 24°C>T>18°C, <=1800meter"
1802,AMOLADERO EL [35060200],4.85797222,-73.74538889,2963,"Muy Frío, 12°C>T>6°C, <=3700meter"
2377,OCHO EL [11027020],5.85,-76.25,900,"Templado, 24°C>T>18°C, <=1800meter"
2532,PUERTO ASIS [47015050],0.5,-76.51666667,260,"Cálido, T>=24°C, <=800meter"
3897,QUINTA COBRA [21257080],4.96666667,-74.93333333,360,"Cálido, T>=24°C, <=800meter"
4395,PUEBLO BELLO [12020010],8.19999722,-76.52,10,"Cálido, T>=24°C, <=800meter"
3225,CARIBIA [12025020],8.5,-76.68333333,20,"Cálido, T>=24°C, <=800meter"
3420,ISER PAMPLONA [16015020],7.37311111,-72.645,2340,"Frío, 18°C>T>12°C, <=2800meter"
2324,CARIMAGUA - AUT [33035010],4.57441667,-71.34075,200,"Cálido, T>=24°C, <=800meter"
900,GRANJA EXPERIOMENTAL EL NUS  - AUT [23085080],6.48358333,-74.83669444,859,"Templado, 24°C>T>18°C, <=1800meter"
1435,MORALIA [26107140],4.08333333,-76.11666667,1688,"Templado, 24°C>T>18°C, <=1800meter"
2911,BERLIN [37017010],7.18333333,-72.91666667,3330,"Muy Frío, 12°C>T>6°C, <=3700meter"
1644,BAMBU EL [35025040],4.11666667,-73.18333333,220,"Cálido, T>=24°C, <=800meter"
1289,TUPARRO BOCAS - TOMO [34035010],5.35313889,-67.85825,167,"Cálido, T>=24°C, <=800meter"
3140,CARRIZAL 2 [23197420],7.23333333,-72.98333333,1375,"Templado, 24°C>T>18°C, <=1800meter"
2118,TAPON EL [34035020],5.11202778,-69.14838889,116,"Cálido, T>=24°C, <=800meter"
11,PITALITO 2 - AUT [21017050],1.84883333,-76.05244444,1250,"Templado, 24°C>T>18°C, <=1800meter"
2060,PLAYA LA [24037420],5.68333333,-73.23333333,2552,"Frío, 18°C>T>12°C, <=2800meter"
253,AEROPUERTO PUERTO CARRENO [38015030],6.18243611,-67.49122222,57,"Cálido, T>=24°C, <=800meter"
2847,TUNEBIA [37035010],7.00611111,-72.11583333,370,"Cálido, T>=24°C, <=800meter"
2378,EMPODUITAMA [24030610],5.85,-73.05,2590,"Frío, 18°C>T>12°C, <=2800meter"
3119,VIGIA DE CURVARADO [11100010],7.08333333,-76.91666667,25,"Cálido, T>=24°C, <=800meter"
3371,VILLA LEIVA [23187100],7.58333333,-73.6,115,"Cálido, T>=24°C, <=800meter"
1335,SAN JUAN [21190270],4.03102778,-74.31116667,2900,"Muy Frío, 12°C>T>6°C, <=3700meter"
2194,AGUADA LA [26040290],2.88052778,-76.4075,2093,"Frío, 18°C>T>12°C, <=2800meter"
3058,ARAUQUITA [37050010],7.03722222,-71.41972222,100,"Cálido, T>=24°C, <=800meter"
3679,TANAMA [52055060],1.37355556,-77.58305556,1500,"Templado, 24°C>T>18°C, <=1800meter"
4148,PUERTO NUEVO PATIA - AUT [52017001],1.90888889,-77.24638889,525,"Cálido, T>=24°C, <=800meter"
2804,BRILLANTE EL [28040320],9.70275,-73.95913889,135,"Cálido, T>=24°C, <=800meter"
3494,CARACOLI [28030190],10.08869444,-73.73172222,220,"Cálido, T>=24°C, <=800meter"
3624,GUACHAVES [52050050],1.22063889,-77.67966667,2834,"Muy Frío, 12°C>T>6°C, <=3700meter"
1927,SUEVA [35060020],4.81,-73.70716667,1965,"Frío, 18°C>T>12°C, <=2800meter"
2545,GUALMATAN [52050100],0.90666667,-77.58138889,2830,"Muy Frío, 12°C>T>6°C, <=3700meter"
3701,PUENTE BALBOA [52017040],1.98333333,-77.16666667,1356,"Templado, 24°C>T>18°C, <=1800meter"
2536,CHILES [52050130],0.81166667,-77.84833333,3100,"Muy Frío, 12°C>T>6°C, <=3700meter"
2833,DIFICIL EL [25025260],9.85,-74.25,205,"Cálido, T>=24°C, <=800meter"
2811,VILLA CONCEPCION [28040300],9.70630556,-73.85944444,120,"Cálido, T>=24°C, <=800meter"
2605,CHIMICHAGUA [25021240],9.26008333,-73.80986111,138,"Cálido, T>=24°C, <=800meter"
4190,BELLAVISTA [29030400],10.45,-75.11666667,60,"Cálido, T>=24°C, <=800meter"
3521,BELLACLARA HACIENDA [28030160],10.38333333,-73.43333333,330,"Cálido, T>=24°C, <=800meter"
3637,ROSAL DEL MONTE [52040060],1.28730556,-77.17405556,2568,"Frío, 18°C>T>12°C, <=2800meter"
191,LA DONJUANA - AUT [16017020],7.68797222,-72.60547222,730,"Cálido, T>=24°C, <=800meter"
3295,ESTABLO EL [23180050],7.54138889,-73.59805556,98,"Cálido, T>=24°C, <=800meter"
3291,CANAL PRINCIPAL [23187080],7.53333333,-73.61666667,80,"Cálido, T>=24°C, <=800meter"
3264,INKORA K-7 [29037360],10.30280833,-74.94655833,8,"Cálido, T>=24°C, <=800meter"
990,PUENTE LAS SANCHEZ [11027010],5.85197222,-76.18080556,2000,"Frío, 18°C>T>12°C, <=2800meter"
4094,VICHOY [47010170],1.18333333,-76.98333333,2280,"Frío, 18°C>T>12°C, <=2800meter"
3442,ANGOSTURAS [23197400],7.33527778,-73.33083333,331,"Cálido, T>=24°C, <=800meter"
