Station,Date,Value
13035501,2018,0.886
13035501,2019,34.5
13035501,2020,65.3
13035501,2021,0
13035501,2022,0
13035501,2023,550.5
13035501,2024,410.6
13035501,2025,237.6
13037040,2011,51.2
13037040,2012,194.2
13055040,2005,60.7
13055040,2006,56.3
13055040,2007,73.2
13055040,2008,75.8
13055040,2009,62.3
13055040,2010,43.5
13055040,2011,84.9
13055040,2012,64
13055040,2013,72.9
13055040,2014,43.3
13055040,2015,57.9
13055040,2016,64.3
13055040,2017,9.8
13057010,2005,71.6
13057010,2006,33.8
13057010,2007,83.1
13057010,2008,66.5
13057010,2009,60.9
13057010,2010,73.5
13057010,2011,84.6
13057010,2012,76.7
13057010,2013,77.7
13057010,2014,35
13057010,2015,47.5
13057010,2016,68.8
13057010,2017,40
13057010,2018,203.5
13057010,2019,60.4
13057010,2020,55.6
13057010,2023,17
13067020,2015,49.65
13067020,2016,69.25
13067020,2017,259.7
13067020,2018,1325
13067020,2019,6.1
13067020,2020,11.6
13067020,2021,2.2
13067020,2022,5.2
13067020,2023,2.5
13067020,2024,19.8
13067020,2025,7.8
13075010,2024,10.6
13075010,2025,40.1
13077060,2019,136.8
13077060,2020,50.4
13077060,2021,64.4
13077060,2022,30.6
13077060,2023,0.2
13077060,2024,83.8
13077060,2025,63
13085030,2017,79.8
13085030,2018,49.2
13085030,2019,92.4
13085050,2005,84.1
13085050,2006,44.3
13085050,2007,42.9
13085050,2008,44.6
13085050,2009,92
13085050,2010,57.2
13095010,2006,27.8
13095010,2007,30.9
13095010,2008,152.2
13095010,2009,98
13095010,2010,177.8
13095010,2011,138.2
13095010,2012,20.5
13095010,2013,119.3
13095010,2014,116.4
13095010,2015,85.3
13095010,2016,91.3
13095010,2017,118
13095010,2018,10.8
14015010,2019,82
14015010,2020,102.8
14015010,2021,77.4
14015010,2023,2.6
14015010,2024,125.6
14015010,2025,53.6
14015020,2014,68.76
14015020,2015,41.39
14015020,2016,74.19
14015020,2017,66.55
14015020,2018,44.45
14015020,2019,52.17
14015080,2019,29.49
14015080,2020,1239.1
14015080,2021,72.04
14015080,2022,144.04
14015080,2023,87.9
14015080,2024,214.6
14015080,2025,227
14017001,2010,73.5
14017001,2012,54.3
14017001,2013,55.2
14017001,2014,2.1
14017001,2015,19.6
14017001,2016,17.1
14017001,2017,78.6
14017001,2018,73.2
14017001,2019,44.2
14017001,2020,5.9
14019030,2009,41.8
14019030,2010,108.1
14019030,2011,111.8
14019030,2012,75.4
14019030,2013,208.8
14019030,2014,204.1
14019030,2015,0
14019030,2016,422.8
14019030,2017,423
14019030,2018,127.6
14019030,2019,7.8
14019030,2020,33.1
14019030,2021,1.2
14019030,2022,5.2
14019030,2023,48.8
14019030,2024,60.2
14019030,2025,0
15015050,2022,27.1
15015050,2023,43.7
15015050,2024,104.6
15015050,2025,14.4
15015060,2019,83.4
15015060,2020,89.6
15015060,2021,61.4
15015060,2022,7.8
15015060,2023,0
15015100,2021,113.2
15015100,2022,204.7
15015100,2023,5.1
15015100,2024,438
15015100,2025,148.2
15015120,2007,74.2
15015120,2008,85.3
15015120,2009,24.9
15015120,2010,64.7
15015120,2011,64.8
15015120,2012,207.2
15015120,2013,51
15015120,2014,49
15015120,2015,81.6
15015120,2016,57.1
15015120,2017,85.8
15015120,2018,112.3
15015120,2019,43.2
15015120,2020,55.5
15015120,2021,18
15015120,2022,71.6
15015120,2023,0.4
15015120,2024,4.4
15015120,2025,12.2
15017030,2019,0
15017030,2020,0
15017030,2021,49.4
15017030,2022,9.5
15017030,2023,17.2
15017030,2024,104.8
15017030,2025,64.2
15017060,2005,124.1
15017060,2006,208.6
15017060,2007,105.1
15017060,2008,136
15017060,2009,72.5
15017060,2010,135.3
15035020,2019,63.2
15035020,2020,10.2
15035020,2022,203.8
15035020,2023,8.2
15035020,2024,122
15035020,2025,67
15065040,2013,60.2
15065040,2014,1.2
15065040,2015,0.4
15065040,2016,3.8
15065040,2017,22.1
15065040,2018,54.5
15065040,2019,84
15065040,2020,32.8
15065040,2021,5.5
15065040,2022,54.3
15065040,2024,228.4
15065040,2025,88.4
15065180,2014,0.6
15065180,2015,36.25
15065180,2016,22.59
15065180,2017,42.61
15065180,2018,33.77
15065180,2019,133.69
15065180,2020,46.7
15065180,2021,88.93
15065180,2022,61.55
15065180,2023,48.1
15065180,2024,168.4
15065180,2025,55.1
15065190,2012,77
15065190,2013,110
15065190,2014,48
15065190,2015,191.5
15065190,2016,288.6
15065190,2017,100.7
15065190,2018,58.8
15065190,2019,2.6
15065190,2020,171.3
15065190,2021,0.5
15065190,2022,228.9
15065190,2023,0.2
15065190,2024,322.4
15065190,2025,38.6
15065501,2015,2.6
15065501,2018,73.706
15065501,2019,13.8
15065501,2020,11.8
15065501,2021,5.5
15065501,2022,11.9
15065501,2023,11.5
15067020,2005,22.7
15067020,2007,132.8
15067020,2008,40.4
15067020,2009,0
15067020,2010,0
15067020,2011,187.2
15067020,2012,200.2
15067020,2013,48.6
15067020,2014,40.5
15067020,2015,51.8
15067020,2016,30.7
15067020,2017,19.1
15067020,2018,79.5
15067020,2019,104.1
15067020,2020,73.9
15067020,2024,11.4
15067020,2025,4.5
15067050,2011,21.3
15067050,2012,1.4
15067150,2010,0
15067150,2011,0
15067150,2012,0
15067150,2013,0
15067200,2011,0
15067200,2012,0
15067200,2013,0
15067210,2011,46.1
15067210,2012,32.5
15067210,2013,4.7
15067220,2011,61.4
15067220,2012,75.7
15067220,2013,72.3
15067220,2014,278.5
15067220,2015,61.1
15067220,2016,87.3
15067220,2017,58.8
15067220,2018,48.9
15067220,2019,0.6
15067220,2024,0
15075150,2011,0
15075150,2012,36.9
15075150,2013,63.1
15075150,2014,13.7
15075150,2015,288.5
15075150,2016,2.4
15075150,2017,1.2
15075150,2018,61.5
15075150,2019,45.6
15075150,2020,0
15075501,2014,64.64
15075501,2015,48.47
15075501,2016,17.39
15075501,2017,26.41
15075501,2018,8.6
15075501,2019,0.4
15075501,2020,0.2
15075501,2021,1.7
15075501,2022,3.4
15075501,2023,0.5
15075501,2024,8
15079010,2017,5.3
15080070,2024,111.2
15080070,2025,13.2
15085030,2022,69.8
15085030,2023,136.9
15085030,2024,299.2
15085030,2025,96
15085050,2005,50.7
15085050,2006,49.7
15085050,2007,34.2
15085050,2008,78.9
15085050,2009,27.8
15085050,2010,27.6
15085050,2011,50.3
15085050,2012,21.2
15085050,2013,14.7
15085050,2014,20.1
15085050,2015,1.9
15085050,2016,27.2
15085050,2017,0
15085050,2018,43.9
15085050,2019,56.9
15085050,2020,6
15085050,2021,7.4
15085050,2022,0.1
15085050,2023,0.7
16015110,2005,4
16015110,2006,54.8
16015110,2007,21.5
16015110,2008,36.5
16015110,2009,45.5
16015110,2010,140.3
16015110,2011,85.1
16015110,2012,26.9
16015110,2013,28
16015110,2014,134.5
16015110,2015,34.1
16015110,2016,26
16015110,2017,29
16015110,2018,16.2
16015110,2019,31.5
16015110,2020,3.4
16015110,2022,56.7
16015110,2023,0.4
16015110,2024,31.2
16015110,2025,2.2
16015120,2011,43.5
16015120,2012,245.8
16015120,2013,274.1
16015120,2014,29.2
16015120,2015,31.7
16015120,2016,57.5
16015120,2017,44
16015120,2018,69.7
16015120,2019,36.9
16015120,2020,45.6
16015120,2021,36.1
16015120,2022,25.2
16015120,2023,17.2
16015120,2024,92.8
16015120,2025,14.8
16015130,2006,6.9
16015130,2007,48.2
