Fecha,Valor
1969,132
1970,115
1971,100
1972,97
1973,116
1974,92
1975,104
1976,82
1977,90
1978,130
1979,116
1980,130
1981,78
1982,150
1983,103
1984,150
1985,98
1986,55
1987,90
1988,88
1989,77
1990,93
1991,90
1992,105
1993,120
1994,100
1995,70
1996,150
1997,70
1998,124
1999,130
2000,120
2001,70
2002,96
2003,271
2004,90
2005,106
2006,125
2007,90
2008,121
2009,90
