Date,Value
1969,112
1970,100
1971,85
1972,72
1973,128
1974,155
1975,172
1976,123
1977,115
1978,170
1979,136
1980,105
1981,100
1982,80
1983,149
1984,145
1985,110
1986,52
1987,170
1988,105
1989,115
1990,63
1991,130
1992,147
1993,78
1994,84
1995,98
1996,106
1997,74
1998,98
1999,152
2000,97
2001,97
2002,93
2003,93
2004,112
2005,75
2006,137
2007,149
2008,138
2009,107
