Station,Date,Value
28020440,1967,79
28020440,1968,95
28020440,1969,97
28020440,1970,133
28020440,1971,103
28020440,1972,136
28020440,1973,134
28020440,1974,76
28020440,1975,100
28020440,1976,84
28020440,1977,86
28020440,1978,93
28020440,1979,105
28020440,1980,126
28020440,1981,106
28020440,1982,84
28020440,1983,100.5
28020440,1984,97.6
28020440,1985,118.6
28020440,1986,114
28020440,1987,123.2
28020440,1988,134
28020440,1989,83.7
28020440,1990,86.4
28020440,1991,74.5
28020440,1992,80.5
28020440,1993,86.5
28020440,1994,65
28020440,1995,98
28020440,1996,118
28020440,1997,25
28020440,1998,94
28020440,1999,102
28020440,2000,94
28020440,2001,82
28020440,2002,87
28020440,2003,29
28020440,2004,81
28020440,2005,62
28020440,2006,92
28020440,2007,143
28020440,2008,87
28020440,2009,82
28020600,1959,
28020600,1960,
28020600,1961,
28020600,1962,
28020600,1963,
28020600,1964,
28020600,1965,
28020600,1966,
28020600,1967,
28020600,1968,
28020600,1969,
28020600,1970,
28020600,1971,
28020600,1972,
28020600,1973,
28020600,1974,
28020600,1975,
28020600,1976,
28020600,1977,
28020600,1978,
28020600,1979,
28020600,1980,
28020600,1981,28
28020600,1982,118
28020600,1983,80
28020600,1984,67
28020600,1985,97
28020600,1986,98
28020600,1987,93
28020600,1988,82
28020600,1989,93
28020600,1990,113
28020600,1991,112.1
28020600,1992,75
28020600,1993,95
28020600,1994,100.3
28020600,1995,135.1
28020600,1996,85.4
28020600,1997,73
28020600,1998,110
28020600,1999,99
28020600,2000,94.7
28020600,2001,43.4
28020600,2002,98
28020600,2003,79.2
28020600,2004,97
28020600,2005,
28020600,2006,
28020600,2007,
28020600,2008,
28020600,2009,81
28025080,1959,
28025080,1960,
28025080,1961,
28025080,1962,
28025080,1963,
28025080,1964,
28025080,1965,
28025080,1966,
28025080,1967,
28025080,1968,
28025080,1969,
28025080,1970,
28025080,1971,
28025080,1972,
28025080,1973,
28025080,1974,
28025080,1975,
28025080,1976,
28025080,1977,97.7
28025080,1978,71.5
28025080,1979,110.5
28025080,1980,120.7
28025080,1981,111.5
28025080,1982,104.9
28025080,1983,90.4
28025080,1984,118.5
28025080,1985,130.3
28025080,1986,71.1
28025080,1987,90.1
28025080,1988,146.7
28025080,1989,70.3
28025080,1990,72.2
28025080,1991,71.6
28025080,1992,117
28025080,1993,70
28025080,1994,112.5
28025080,1995,104
28025080,1996,111
28025080,1997,98.3
28025080,1998,85.1
28025080,1999,120
28025080,2000,99
28025080,2001,133
28025080,2002,55
28025080,2003,
28025080,2004,85
28025080,2005,104
28025080,2006,72
28025080,2007,110
28025080,2008,80
28025080,2009,85.1
28025090,1959,
28025090,1960,
28025090,1961,
28025090,1962,
28025090,1963,
28025090,1964,
28025090,1965,
28025090,1966,
28025090,1967,
28025090,1968,
28025090,1969,
28025090,1970,
28025090,1971,
28025090,1972,
28025090,1973,
28025090,1974,
28025090,1975,
28025090,1976,
28025090,1977,
28025090,1978,78
28025090,1979,78
28025090,1980,103.6
28025090,1981,87.7
28025090,1982,64
28025090,1983,133.4
28025090,1984,116.8
28025090,1985,123.4
28025090,1986,80.8
28025090,1987,124.6
28025090,1988,91.8
28025090,1989,115.2
28025090,1990,122
28025090,1991,75
28025090,1992,102
28025090,1993,90
28025090,1994,85
28025090,1995,81
28025090,1996,121.9
28025090,1997,84
28025090,1998,111
28025090,1999,100
28025090,2000,118
28025090,2001,85.7
28025090,2002,79
28025090,2003,77
28025090,2004,90
28025090,2005,77
28025090,2006,112
28025090,2007,91
28025090,2008,131
28025090,2009,141
28035040,1959,
28035040,1960,
28035040,1961,
28035040,1962,
28035040,1963,
28035040,1964,
28035040,1965,
28035040,1966,
28035040,1967,
28035040,1968,
28035040,1969,
28035040,1970,
28035040,1971,
28035040,1972,75
28035040,1973,52
28035040,1974,65
28035040,1975,73
28035040,1976,67.5
28035040,1977,28
28035040,1978,99
28035040,1979,121
28035040,1980,72.4
28035040,1981,96
28035040,1982,105.5
28035040,1983,56
28035040,1984,90.1
28035040,1985,114.4
28035040,1986,103.7
28035040,1987,91.1
28035040,1988,135
28035040,1989,90
28035040,1990,84
28035040,1991,84
28035040,1992,83
28035040,1993,83
28035040,1994,
28035040,1995,127
28035040,1996,85.7
28035040,1997,65
28035040,1998,108
28035040,1999,100
28035040,2000,81.8
28035040,2001,90
28035040,2002,59
28035040,2003,
28035040,2004,85
28035040,2005,104
28035040,2006,104
28035040,2007,101
28035040,2008,96
28035040,2009,84
28040310,1959,
28040310,1960,
28040310,1961,
28040310,1962,
28040310,1963,
28040310,1964,
28040310,1965,
28040310,1966,
28040310,1967,
28040310,1968,
28040310,1969,
28040310,1970,
28040310,1971,
28040310,1972,
28040310,1973,
