Fecha,Valor
1971,196
1972,268
1973,1614
1974,1584
1975,396
1976,1815
1977,112
1978,1377
1979,1153
1980,1988
1981,2311
1982,396
1983,777
1984,136
1985,102
1986,193
1987,276
1988,177
1989,123
1990,1342
1991,1783
1992,1553
1993,147
1994,338
1995,226
1996,213
1997,2235
1998,1856
1999,1549
2000,1002
