Fecha,Valor
1977,795
1978,530
1979,566
1980,587
1981,848
1982,480
1983,803
1984,595
1985,357
1986,571
1987,816
1988,663
1989,310
1990,807
1991,610
1992,620
1993,432
1994,830
1995,615
1996,505
1997,448
1998,270
