tr,prob_l,prob_g,alpha,betaprime,chi2,crystalball,erlang,expon,exponnorm,f,fatiguelife,fisk,gamma,genexpon,genlogistic,gibrat,gompertz,gumbel_l,gumbel_r,halflogistic,halfnorm,hypsecant,invgamma,invgauss,invweibull,johnsonsu,kstwobign,laplace,laplace_asymmetric,loggamma,logistic,lognorm,maxwell,mielke,moyal,nakagami,ncf,nct,norm,pareto,pearson3,rayleigh,rice,t,truncnorm,wald,weibull_min,logalpha,logbetaprime,logchi2,logcrystalball,logerlang,logexpon,logexponnorm,logf,logfatiguelife,logfisk,loggenexpon,loggenlogistic,loggibrat,loggompertz,loggumbel_l,loggumbel_r,loghalflogistic,loghalfnorm,loghypsecant,loginvgamma,loginvgauss,loginvweibull,logjohnsonsu,logkstwobign,loglaplace,loglaplace_asymmetric,logloggamma,loglogistic,loglognorm,logmaxwell,logmielke,logmoyal,lognakagami,logncf,lognct,logpareto,logpearson3,lograyleigh,logrice,logt,logtruncnorm,logwald,logweibull_min,station,n,risk_rate
2.0,0.5,0.5,45.40816161374953,90.50764279607836,15.141352992851852,91.26922812085006,90.37618982132392,66.5770204295199,91.26910084425316,90.96134893319913,10.800072265015304,93.56520535051823,90.28514843194534,65.69676045611226,99.96205371493555,75.74519142784327,150.51356348516302,99.76568120602518,82.77278033243637,78.54877518274012,80.68260312213758,91.26923076923077,87.04887556739777,84.4382178193402,82.21236610412598,95.40758985260271,80.32767854022396,91.26923076923077,102.61742185325681,67.46380339419204,91.26923076923077,69.54130238307482,86.84597770194004,92.3099814476031,80.02984165538959,61.45562394559768,81.46727405213404,91.25610976784901,91.26923076923077,11.407762255057746,92.78611976658313,85.27718408237348,88.41679165474507,91.27436743654562,91.2692290291086,74.5043839989718,90.87708980397792,66.0269631912782,68.76868545811334,17.806943335054292,69.5413029694012,66.7579717428496,39.26941301302757,69.54125215054354,69.85002829132054,69.40813192308875,79.00803864340354,56.38767362913665,inf,53.80678086802308,79.4184616005969,80.02384712691803,60.4318951257661,56.357151034907346,58.38020686317748,69.54130238307482,67.0758678498243,64.89105558797706,61.88569466349179,94.71745894588001,56.540586056751344,69.54130238307482,90.89038867237538,92.93275073338481,69.54130238307482,69.54111187828481,64.63956004433908,93.5042763459493,57.753847761106414,72.89331471640168,68.9196540218034,69.45716706110632,10.986475323069799,79.10914965371977,62.98565208129213,68.65275295898161,69.54133765863597,48.29698681387463,52.71481900279411,82.05747957464335,13095010,13,0.75
2.33,0.5708154506437768,0.4291845493562232,54.04581445369921,99.85196640256754,16.381605158973862,100.49833432125457,99.70379656181933,78.86636882407207,100.49820695144744,100.23588222073658,12.77653289196649,102.45368930697441,99.6011409418204,77.79216793577143,108.14343222930361,80.4202936964889,152.48569122570092,107.79511654341083,91.32458195179797,87.34137469452448,90.64321122801003,98.65527722323704,96.47703718620653,94.40191126206051,92.32697105407715,104.4534229620341,90.56564759064952,96.85426182555467,109.6911741885909,79.06154613503664,99.4007144019277,80.9985954270485,96.4343882789712,104.78208952333543,88.1252094941413,72.45062335313925,91.87836318332526,100.48721579552807,100.49833696516119,14.599231920091718,101.95306454040835,95.00743282645438,97.96454184232437,100.50363135750642,100.4983351577829,80.55600626182604,100.18935652372807,77.51253605923733,80.52280430726387,21.294732225360264,80.99859629206819,78.18524438244148,52.188899176038,80.99854329359903,81.60591071512815,80.79884332715399,90.89028039137833,68.71898999896452,inf,58.12830311005046,89.80085224628303,91.3785785153711,69.60493939336912,65.17054222630095,68.82567204395241,78.56884572329727,78.71829958773321,76.2470868979853,75.49884251772002,105.58445620840008,69.266146561166,76.26495143168934,102.29959892499983,105.19946994999931,79.54266972081768,80.99841692483822,75.7376254918313,105.58774999786331,66.02054031079376,83.64337515332744,80.89443876197961,80.9374590636933,12.019882148318574,91.18804312474941,73.97276147544305,80.19944252994561,80.99863484960783,55.874919986668694,58.258847811197676,92.17557807388147,13095010,13,0.7292085003076647
5.0,0.8,0.2,121.0233539046515,135.09413398342804,23.08374305600534,134.79618125526392,134.86412361738724,140.31023078440867,134.79605355249817,134.87466533443785,54.76134435993174,136.77336438000202,134.71509992499136,138.2663707717537,135.80809476757972,107.33609783836256,158.8568057900186,133.73482652343094,128.47748590039947,127.1261760244571,132.76533104294285,128.2824181297201,133.56130210494314,135.72568665220723,136.26940059661865,135.89385028235046,134.05430245856374,124.77810825349735,131.6060032928768,144.00741227498636,130.79749964930173,142.76553331241863,134.17363138833858,144.61474079801528,125.62369806078864,120.89844817719155,136.6627473145927,134.79447222393742,134.79618388254352,36226.01808116639,135.17945537115378,133.96190209186085,134.6191476056138,134.80206520584667,134.7961818252234,114.4330927703493,134.70101116298164,143.6842472774687,145.78580203449164,60.87684678600055,142.7655360298158,142.24946075274687,216.35544133708567,142.76548318780183,146.18633653302186,142.19263038625917,156.11797870374065,151.74347624438042,inf,90.68752576606626,134.29272850330125,140.28340942984588,128.61033672315978,125.76997556370426,138.0544914477913,128.19642948588074,145.11665028608732,142.492264239889,179.09521753991766,140.2900548870919,164.06219005471254,120.98359769135637,138.27563994634215,144.28711278981984,133.63676487533345,142.76572116899035,141.30433644412506,144.86423346115063,122.68601276274194,143.56498728866515,148.57730714456943,142.95831026286487,inf,144.26691632644773,140.80979639330025,143.42475278947884,142.76559190692262,96.09949704123252,101.97157989350114,134.20001832068903,13095010,13,0.6723199999999999
10.0,0.9,0.1,244.07741062556315,158.9244570400374,29.56953370438918,157.54849093838186,158.6225143789751,196.0872512139286,157.5483630264152,158.00310581249641,112.73162692509948,162.04852494597435,158.43991677367376,193.16316175176905,153.69593278933152,138.0170258507673,162.4039570421408,148.17688833491454,158.73797788404454,160.1657969051006,163.9347473015798,151.94054760146966,160.07150243309968,167.17730543225326,172.05985927581787,154.99387056453787,167.16535478917,150.1265955228611,150.09432390120432,216.262368073018,153.9200546625663,207.9266812683408,160.73256427171643,161.7877655351305,158.27195419281747,157.67791719397147,172.0675546607766,157.55477343922507,157.5484935546316,148278437.43095458,156.49736620080824,161.73723909703278,159.604120386451,157.5547657674199,157.5484913315065,150.38465532194596,157.2509888231777,220.6252813854799,217.5083831287806,179.81080244774984,207.9266863783837,213.6867545705534,786.6806651372106,207.9266486234626,216.14048234638298,206.96938982938332,232.52737110301177,267.0393583493645,inf,150.566266760063,168.44111586296887,178.09547242600357,212.05416758909644,217.11715179832873,231.07117052856344,189.52372780481636,221.07074465834214,220.83468322835373,361.9370453603884,157.57634511456635,316.3245177731134,183.9269513681529,153.67834319762073,161.1042203441236,195.8258177396833,207.9277167646647,219.16005006464906,162.1304849721042,210.42740180097235,209.82491976195712,224.89261023646873,208.57370312812355,inf,184.83429718781227,222.8258826563533,211.3991658552467,207.92675612627826,127.76533880727506,184.7071812985688,165.41684878847806,13095010,13,0.6513215599
15.0,0.9333333333333333,0.06666666666666667,366.6922851896693,170.95185937170277,33.46442661168447,168.90236642322986,170.608602350556,228.7147165671556,168.90223841034404,169.58951207474956,150.64525521012308,175.81961829960346,170.4084029459882,225.27572588500544,162.98589376013052,159.1793458316787,164.0103776072054,154.71735406726538,175.81069175053682,178.86328186210386,180.15519279190698,165.44206350483623,173.9132674624151,184.16906164280755,192.2525339126587,164.04039310130472,184.74330675225497,164.95451002544652,160.90929815838604,265.6190347749741,166.51830530970807,250.83824532675987,174.3596031932249,167.4883820019401,177.21957635484563,176.93471726048736,191.5784812750508,168.91316804660505,168.9023690339754,19234098224.260002,166.9218019287058,176.0483489687852,172.20299992308347,168.90883702963328,168.9023667281102,173.47114160667303,168.3512588714965,274.9524332403381,266.08072303208155,350.20565275245605,250.83825218514022,262.57885251651425,1673.9650477888242,250.83823024291812,263.05648134221485,249.64190865237134,288.8977209713378,357.35732488864267,inf,213.59840338594142,186.71677926118255,198.4229671482277,281.1724853368869,295.7204380516317,302.10360430013253,236.89730840417687,274.03004110798145,276.7802341223047,538.2961145172167,164.5693775587147,448.2283223921681,234.99633756892436,160.65346251017502,166.6827054567719,241.14819047887391,250.8400526847349,274.51037951881386,167.9067677797682,287.7954897230386,254.89688344997444,277.52248092722243,251.86702254586254,inf,205.92348275551393,282.27400918223236,256.6872539600921,250.83832934804545,141.80097229258345,270.49723001773265,181.84995607474573,13095010,13,0.6447356335058557
20.0,0.95,0.05,489.19935541473313,178.8774092193387,36.26047132545502,176.33774098303732,178.5051069444761,251.8642716434484,176.33761290532118,177.1933610556075,178.71560425491313,185.33778920769691,178.29307297727496,248.05995273178434,169.291673024673,175.7795803490197,165.01030038161315,158.78849230785391,187.76456830525223,191.96328397834907,190.96956748688766,174.96677265438836,183.20901948889662,195.784030496431,206.39092636108398,169.79796413276514,196.58443238685163,175.47508279222484,168.58264450953178,304.1886005871338,175.22584123645538,283.6320609911006,183.40341255817708,170.33449846205946,190.63855767252016,189.7950833251381,205.05718635186082,176.35169573256098,176.33774359017832,607106428716.501,173.67192908350393,185.56051500078422,180.4913007841546,176.34434011695416,176.33774123012864,190.67515496011492,175.55932760668318,318.3164660698217,303.83636130063974,568.0333358129081,283.63206925982973,300.83434585303706,2860.415550799655,283.63206192897513,299.3114129748703,282.2618600567582,335.66090007886896,433.73198244188535,inf,281.0145106991536,199.10108152024824,212.2312538635836,342.5803028398056,367.1950379870018,361.21685785241124,277.27853616081575,315.9571680151764,321.7379768974317,710.7601286135973,168.61543028086032,566.8459447120415,279.61743645518794,165.79355260375127,169.46714178305976,278.4681400415452,283.63455852692016,318.7598513332873,170.79899524567833,359.24289911622213,290.0251825573636,318.895257603334,284.99056857138874,inf,219.8452457091543,330.32085864483787,291.5284215725147,283.632151354275,149.6971665658719,359.4401474427023,192.89318421086818,13095010,13,0.6415140775914581
25.0,0.96,0.04,611.6634956511028,184.73657188548077,38.44472845306393,181.8111815990979,184.34187189283546,269.8204615688172,181.81105347430486,182.79901873839162,201.0186311557724,192.619124725461,184.1209700222671,265.7327720674104,174.06910981049236,189.61844514047425,165.7218501764851,161.68553349709427,196.97218972438918,202.0562095238231,199.01582351092392,182.33813429012764,190.17195548614416,204.58644609401227,217.28119945526123,173.95428336973768,205.4538755936361,183.63547300712764,174.5345543406374,336.27997119336425,181.88704603600493,310.482156320128,190.1174974639536,172.0408569356382,201.03967911285758,199.37037177971598,215.34587381478863,181.8275560195375,181.81118420358536,8833427861784.912,178.60235317727896,192.62787736895785,186.60943549205314,181.81787552434793,181.81118180364857,204.4551572325036,180.8332814912801,354.9698523748461,335.12968239349624,830.8174280707748,310.4821657855728,332.6951635897704,4334.229351496758,310.48217184703765,329.23466454663986,308.97551603844107,376.4827957328328,500.87613931803423,inf,353.2178639038669,208.4198893511121,222.63866020125673,398.8805562658341,433.8416316520877,412.5855449395149,313.1975937044359,351.1790641302652,359.92060601625684,880.4305963908703,171.3433808448959,675.8357790451985,319.98457788932745,169.89350167681914,171.1363002454744,310.8716259803343,310.48527850958186,356.1629105670773,172.53566605581977,426.6129949961352,319.1958342999222,353.4692154035276,312.13294962206567,inf,230.09052390026883,371.2408028167191,320.1875288402047,310.48225150346724,154.7553199162064,451.3548328798635,201.15766474861678,13095010,13,0.639603283141982
50.0,0.98,0.02,1223.7914709611143,201.63197958140472,45.29947115836887,197.4849805483703,201.16831540996475,325.5974819983372,197.48485229172553,198.8899239134148,272.57676784585766,214.86588595807552,200.92128439744693,320.62956304742573,188.49670090941058,238.40081640863446,167.6533853074831,169.54968659734377,225.33651222572075,233.1540450412894,222.40338847343838,205.19232379665323,210.69195090606854,231.00712458320027,250.8289737701416,185.48395032370757,231.4988868590275,208.9839602764914,193.0228749489649,449.18980525263174,202.23911097011435,402.274996028307,209.5896485298236,175.45067730654083,233.3290158253469,227.21722335529827,246.5981323403438,197.50874955827567,197.4849831452595,3.616730339156619e+16,192.54099834464802,213.14318093178923,204.1983935272287,197.49194684679594,197.48498063110156,249.44703166936955,195.7806006834414,487.75174336390245,444.4711718595785,2769.3355962166747,402.27500982804,444.99710058716965,15759.503934917868,402.27506994859385,433.01050472893627,400.342579179998,534.6078299069903,760.7325178970985,inf,790.9096629913457,236.01231080145496,253.53584457223744,637.3904250535809,725.291637140089,607.2406017119675,456.9160661938788,477.313631415144,499.40900350018757,1702.542965960858,178.09058426894114,1132.7100829412786,486.46088411217755,183.28703069807258,174.4712927248562,435.1530795098512,402.280618252405,491.35431798526713,176.01455856511976,727.3868716215184,421.4520188309074,476.0820952777052,405.06006802919615,inf,259.0929031652668,521.0579645351467,418.9470077999768,402.2751055464778,165.67443887803617,949.2925805114137,225.42122635427617,13095010,13,0.6358303199128832
75.0,0.9866666666666667,0.013333333333333334,1835.8339019341308,210.76923587777583,49.34887295778871,205.8950419333313,210.26558226970394,358.22494735156437,205.89491360777322,207.54733197315272,315.6723732196498,227.71478456258774,210.00408034073735,352.7421271806623,196.75440856449882,271.3485736062491,168.63012591674448,173.52643915840164,241.82293786478482,251.2311472396454,235.13462647409855,218.54815682090936,222.06899194404468,245.94446401047497,270.3282194137573,191.45045865040345,245.8286924032921,223.8118747790769,203.8378492061467,525.4144374036185,213.99370188665216,462.2529120179699,220.17631020997584,176.5866014949654,252.2112124908031,242.37720010682102,264.5078788853064,205.92306525171466,205.89504452614344,4.691481298760276e+18,199.91046284821198,224.30431279409515,213.67298298211833,205.90215500493036,205.8950419506981,277.132969352885,203.7042956920869,580.489888198517,517.7067892770465,5673.531903065136,462.25292882216604,520.9735286194309,33534.39321270439,462.2530301352557,501.93456703503915,460.07584274924614,654.6247609139645,955.0076432821442,inf,1363.247769705796,251.3468819378586,270.756810261374,836.9970338182463,977.7943975642736,749.4277349876984,569.7540760301181,564.2268668122147,597.7266761177066,2497.8503361728494,181.12940797942946,1504.9252183536305,621.5322185604217,191.60602269760793,175.58198499751316,528.4469725980944,462.2604407011416,585.2915231435488,177.18820756223903,993.7510688373188,490.18173868442295,559.6151830227233,465.87920952651575,inf,274.25462372017637,626.5924110472961,484.0417413787318,462.25302939042024,169.57348488618194,1499.9848274548476,238.78381819524657,13095010,13,0.6345868051211123
100.0,0.99,0.01,2447.854962224353,216.9777582144759,52.23640046231935,211.58324926055855,216.44586079098133,381.3745024278571,211.58312088911026,213.41216305202443,346.68118166416735,236.78641740977764,216.17439215163859,375.5263540274411,202.564066378112,296.87186597002494,169.26900270651512,176.12759530857787,253.49139702207424,264.02572900309485,243.80758996633259,228.0221066562601,229.91394107029862,256.3560850784463,284.12903594970703,195.4018316272626,255.6468580577964,234.33244754585513,211.5111955572924,584.5009659808721,222.29272625942335,507.8112295635642,227.38727690336952,177.1552745293764,265.6073699957211,252.7029278965435,277.09300581862743,211.61426432190433,211.58325185061295,1.480822456566573e+20,204.85168536841044,231.90813566115543,220.0940276440274,211.59046187500297,211.58324923371543,297.3186523858035,209.02496381773716,653.9615564013134,574.1972781021049,9481.77936249009,507.81124872754293,579.9489111487694,57302.45082414106,507.8113839733407,554.8226789054727,505.4655314273137,755.2526559654939,1115.0962163457464,inf,2078.4587679149777,261.91879610907216,282.6488002393771,1014.9978650070232,1208.011535622584,864.9151103941934,666.3145270683649,632.483363626332,676.050455644777,3276.320019114528,182.98104039354274,1828.3555319880923,739.548741167924,197.7364365943837,176.13715087748412,606.1235382137555,507.82033566366675,659.3610510821205,177.7940971359551,1239.98952901067,543.3049082028826,624.7414508020623,512.1235016097326,inf,284.27850028635675,710.4848192059558,533.7454355589243,507.8113522251319,171.5752431863931,2093.8638286088767,247.94979300921887,13095010,13,0.6339676587267709
