tr,prob_l,prob_g,gumbel_l,gumbel_r,loggumbel_l,loggumbel_r,station,n,risk_rate
2.0,0.5,0.5,47.939302950652106,32.340697049347895,12.352226846384111,6.456051893118887,2805500075,5,0.75
2.33,0.5708154506437768,0.4291845493562232,55.3099101453631,40.19080952860608,16.78379953087742,8.9489890232609,2805500075,5,0.7292085003076647
5.0,0.8,0.2,79.12122501046343,74.29525767989162,45.18825308935805,36.969852907547065,2805500075,5,0.6723199999999999
10.0,0.9,0.1,92.37829231612537,102.07282740408706,78.43420349066233,117.38989065931183,2805500075,5,0.6513215599
15.0,0.9333333333333333,0.06666666666666667,98.38210226763834,117.74469751327234,100.6839509218998,225.2850706976648,2805500075,5,0.6447356335058557
20.0,0.95,0.05,102.1191970378062,128.7177391826707,117.61652233688811,355.59281343088344,2805500075,5,0.6415140775914581
25.0,0.96,0.04,104.7785313166898,137.1698603875178,131.37338976417527,505.39951148819324,2805500075,5,0.639603283141982
50.0,0.98,0.02,111.9974179488699,163.20684439908436,177.38287988200508,1492.7094826878622,2805500075,5,0.6358303199128832
75.0,0.9866666666666667,0.013333333333333334,115.64787153701252,178.34053217717386,206.4689133801198,2801.270882946319,2805500075,5,0.6345868051211123
100.0,0.99,0.01,118.03559862235174,189.05157540775693,228.02756206674616,4373.638113266281,2805500075,5,0.6339676587267709
200.0,0.995,0.005,123.22555316174382,214.80200333430233,282.96997484457887,12764.59023937029,2805500075,5,0.6330421782738329
250.0,0.996,0.004,124.75256765038398,223.08038859551115,301.5260498441611,18011.5172506893,2805500075,5,0.6328575464337579
500.0,0.998,0.002,129.1300473262845,248.77480336936588,361.74375510080455,52444.80695742651,2805500075,5,0.6324887451428414
750.0,0.9986666666666667,0.0013333333333333333,131.4695768578865,263.7957211471891,398.71544412174757,97959.19169455797,2805500075,5,0.6323659481318762
1000.0,0.999,0.001,133.04416068101062,274.4506406771076,425.7031346557547,152587.54814973593,2805500075,5,0.6323045752290363
