station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
26027200,edf_chegodayev,genlogistic,0.07210869372202922,0.5865427407550001,Δo > Δ,1,5,1,1
26027200,edf_jenkinson,genlogistic,0.07279711448479953,0.5865427407550001,Δo > Δ,1,5,1,2
26027200,edf_beard,genlogistic,0.07279711448479953,0.5865427407550001,Δo > Δ,1,5,1,3
26027200,edf_filliben,genlogistic,0.07331679837840976,0.5865427407550001,Δo > Δ,1,5,1,4
26027200,edf_tukey,genlogistic,0.0744235085368441,0.5865427407550001,Δo > Δ,1,5,1,5
26027200,edf_blom,laplace_asymmetric,0.07637861438975713,0.5865427407550001,Δo > Δ,1,5,1,6
26027200,edf_adamowski,genlogistic,0.07689298840320924,0.5865427407550001,Δo > Δ,1,5,1,7
26027200,edf_cunnane,laplace_asymmetric,0.07821011622125895,0.5865427407550001,Δo > Δ,1,5,1,8
26027200,edf_gringorten,laplace_asymmetric,0.08121492391356666,0.5865427407550001,Δo > Δ,1,5,1,9
26027200,edf_hazen,laplace_asymmetric,0.08590242391356667,0.5865427407550001,Δo > Δ,1,5,1,10
26027200,edf_weibull,genlogistic,0.10719601870623954,0.5865427407550001,Δo > Δ,1,5,1,11
26027200,edf_california,truncnorm,0.14520295024115593,0.5865427407550001,Δo > Δ,1,5,1,12
