station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
21255160,edf_adamowski,logjohnsonsu,0.04609897477300959,0.32102346734599996,Δo > Δ,1,18,1,1
21255160,edf_chegodayev,logjohnsonsu,0.04771472095397314,0.32102346734599996,Δo > Δ,1,18,1,2
21255160,edf_jenkinson,logjohnsonsu,0.04803997997843265,0.32102346734599996,Δo > Δ,1,18,1,3
21255160,edf_beard,logjohnsonsu,0.04803997997843265,0.32102346734599996,Δo > Δ,1,18,1,4
21255160,edf_filliben,logjohnsonsu,0.04828438915553804,0.32102346734599996,Δo > Δ,1,18,1,5
21255160,edf_tukey,logjohnsonsu,0.04880167747571229,0.32102346734599996,Δo > Δ,1,18,1,6
21255160,edf_blom,logjohnsonsu,0.05017154048941094,0.32102346734599996,Δo > Δ,1,18,1,7
21255160,edf_cunnane,logjohnsonsu,0.05099947967351448,0.32102346734599996,Δo > Δ,1,18,1,8
21255160,edf_hazen,gennorm,0.05107782619880297,0.32102346734599996,Δo > Δ,1,18,1,9
21255160,edf_gringorten,gennorm,0.05126178499203332,0.32102346734599996,Δo > Δ,1,18,1,10
21255160,edf_weibull,logjohnsonsu,0.05336741029806347,0.32102346734599996,Δo > Δ,1,18,1,11
21255160,edf_california,t,0.06065853207444219,0.32102346734599996,Δo > Δ,1,18,1,12
