station,empirical_dist,p_dist,delta,deltao,eval,fit,n,loc,scale,shape,shape1,shape2,shape3,best_fit,best_fit_sort
28020080,edf_weibull,johnsonsu,0.056103550627556564,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,1
28020080,edf_adamowski,johnsonsu,0.056342442170795926,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,2
28020080,edf_chegodayev,johnsonsu,0.05639085191083565,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,3
28020080,edf_beard,johnsonsu,0.05640055946117417,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,4
28020080,edf_jenkinson,johnsonsu,0.05640055946117417,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,5
28020080,edf_tukey,johnsonsu,0.05642324372218571,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,6
28020080,edf_blom,johnsonsu,0.056463867706586124,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,7
28020080,edf_cunnane,johnsonsu,0.056488313998083683,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,8
28020080,edf_gringorten,johnsonsu,0.056527540760149875,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,9
28020080,edf_hazen,johnsonsu,0.05658664241499617,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,10
28020080,edf_california,johnsonsu,0.057457438471041455,0.20273682995998094,Δo > Δ,1,45,68.77991316626506,21.94103442468542,-0.824514273705907,1.1042053130200975,,,1,11
