station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
16027300,edf_adamowski,beta,0.07702041087083944,0.35149047353100005,Δo > Δ,1,13,1,1
16027300,edf_chegodayev,beta,0.07867878566354258,0.35149047353100005,Δo > Δ,1,13,1,2
16027300,edf_weibull,loglevy_l,0.07900369690833953,0.35149047353100005,Δo > Δ,1,13,1,3
16027300,edf_jenkinson,beta,0.0790134352853884,0.35149047353100005,Δo > Δ,1,13,1,4
16027300,edf_beard,beta,0.0790134352853884,0.35149047353100005,Δo > Δ,1,13,1,5
16027300,edf_filliben,beta,0.07926507978217501,0.35149047353100005,Δo > Δ,1,13,1,6
16027300,edf_tukey,beta,0.07979818864861721,0.35149047353100005,Δo > Δ,1,13,1,7
16027300,edf_blom,beta,0.08121328298823982,0.35149047353100005,Δo > Δ,1,13,1,8
16027300,edf_cunnane,beta,0.08207091592134452,0.35149047353100005,Δo > Δ,1,13,1,9
16027300,edf_gringorten,beta,0.08345672523398318,0.35149047353100005,Δo > Δ,1,13,1,10
16027300,edf_hazen,beta,0.08556741941784796,0.35149047353100005,Δo > Δ,1,13,1,11
16027300,edf_california,gausshyper,0.08641967929477563,0.35149047353100005,Δo > Δ,1,13,1,12
