tr,prob_l,prob_g,alpha,betaprime,chi2,crystalball,erlang,expon,exponnorm,f,fatiguelife,fisk,gamma,genexpon,genlogistic,gibrat,gompertz,gumbel_l,gumbel_r,halflogistic,halfnorm,hypsecant,invgamma,invgauss,invweibull,johnsonsu,kstwobign,laplace,laplace_asymmetric,loggamma,logistic,lognorm,maxwell,mielke,moyal,nakagami,ncf,nct,norm,pareto,pearson3,rayleigh,rice,t,truncnorm,wald,weibull_min,logalpha,logbetaprime,logchi2,logcrystalball,logerlang,logexpon,logexponnorm,logf,logfatiguelife,logfisk,loggenexpon,loggenlogistic,loggibrat,loggompertz,loggumbel_l,loggumbel_r,loghalflogistic,loghalfnorm,loghypsecant,loginvgamma,loginvgauss,loginvweibull,logjohnsonsu,logkstwobign,loglaplace,loglaplace_asymmetric,logloggamma,loglogistic,loglognorm,logmaxwell,logmielke,logmoyal,lognakagami,logncf,lognct,logpareto,logpearson3,lograyleigh,logrice,logt,logtruncnorm,logwald,logweibull_min,station,n,risk_rate
2.0,0.5,0.5,65.20215455285613,149.87294404093072,95.82003866359634,-0.16031204893476253,198.76893659039433,149.48909843652388,204.98041145675083,163.02219874086327,24.00021329875647,162.26072126677664,199.7382304292987,149.74692645000607,178.73113891012542,159.66671138245977,177.90618786109178,229.87706525794528,180.2079347420547,167.86145040317226,174.09847048712356,205.0425,24.00004404988899,78.66515089412621,178.54765084385872,197.4507397214261,175.57506417297924,205.0425,241.60675307831497,121.30530657159832,205.0425,123.9833559426131,192.11362249177276,102.44177880600462,172.19050557202576,128.57067888963843,167.71013614516167,83.33710819688005,205.0425,72.98824539377082,202.11727476809048,187.52814202422914,194.97995539672837,205.03935962113314,205.04250337904958,156.0399672429066,142.00920992728922,116.42694513036417,119.27397654015715,41.064354726465226,123.98336145462011,119.82230227240602,74.90842069767261,123.9820053156231,122.31374102503025,24.000005246479656,140.7060309371763,92.8328791830428,inf,87.27885878813633,125.86815134773147,150.24900562221498,102.3093130442648,92.98875228416593,97.5849496138931,123.9833559426131,116.09789252071049,110.8553824160974,101.92979705234296,199.2289623782375,95.17567800886546,123.9833559426131,171.53148075228043,183.79976001735835,123.9833559426131,24.27278207299137,112.18123975102226,101.41128799578486,96.15575662020738,36.15703743001954,107.29370814292147,123.6376901874793,25.10145016148018,135.82451073757136,108.2710298188636,116.79200896932117,123.98454550508177,82.13943073059441,84.86183884234391,157.16010309997807,35160020,8,0.75
2.33,0.5708154506437768,0.4291845493562232,77.60394872590018,179.35884366907868,115.20355715866734,45.36966867297245,225.85655395998924,177.13810583291928,231.95586581603789,198.6900638452914,29.86076884774906,233.43877648899004,226.8572943082163,177.45279213479833,206.54466860825073,173.33173514565198,205.50551827121825,253.34657612653214,205.2042878625663,193.56162979560645,203.21268097197375,226.63142752035392,24.000158735062755,97.95977271957409,206.32550916075706,224.46284774174046,203.25211889276943,221.3671780838349,262.7303694774659,150.2340739723632,228.81029131737225,152.75921343887654,220.13991534979291,129.9081117287786,195.85273280140066,175.17183667323457,196.49746906390877,106.59655467435095,232.01856980707763,94.02570815346712,229.16890337611977,215.96901850653663,222.1131459049667,232.01442534972213,232.01857296386652,173.72845851118132,237.91541904799536,144.59972413048266,147.73911460196135,49.045781637562335,152.75922192541265,148.61375810624094,96.25959094403862,152.75764269391541,151.1287306416403,26.009785479892194,171.53715206005018,117.50562670560082,inf,97.01145255928463,153.85208334044012,180.16607542186605,124.13865090532019,113.44546342811545,122.23994359853934,146.52297583611994,144.39918514788857,138.69592969244727,129.3018118177283,233.5015604002167,120.11910818396025,140.67502065329793,199.95096117646787,219.6255880838508,149.01399933652456,26.3322860896756,139.34557538534807,128.46422687172503,115.47401333183605,46.759239583131965,134.90742641351466,152.3948833072422,27.227550378439307,166.49019498096337,134.9206064558141,144.79143260754202,152.7606502449436,104.91004088228622,97.30774913342871,186.48983734989295,35160020,8,0.7292085003076647
5.0,0.8,0.2,173.7691540056185,325.90102760812687,218.02303658052307,214.57125151646437,329.41728301750004,315.37666326185064,332.2408093964441,385.52279475988337,154.35318605238626,1064.9871865143414,330.364888328563,315.9756276809573,327.3560108049412,252.00490250519363,321.8854453676979,329.1666406420892,313.79978012107597,309.84993906082883,326.3329010755051,313.2296098697813,24.095399295915236,248.49664840380518,327.00516536831856,328.71884788478815,320.81819811619744,302.9867428098812,324.2258430115834,337.79661167287946,320.58102756964945,331.7913449973812,330.44923837323813,363.86145715424726,305.45834614669195,435.660473036644,326.28960281654446,347.6876317937451,332.2689183276902,339.9662490404633,331.340925034359,329.8303675789564,329.03942106389627,332.26104956631093,332.26892065849836,272.74893977598055,1485.4526706208005,336.7463341792035,332.61981460825604,134.83040290749236,331.7913771133678,336.42507709592047,337.27592536594926,331.78868692107835,334.3042073319814,143.56966696703128,368.6308974135396,323.2666690934272,inf,178.3042888750274,315.8382007353388,323.9223319674517,287.6111473598387,278.95519349306704,316.90185795919973,286.3451614075128,337.1136279385963,339.2206770164231,363.41399763974806,349.72280081115997,322.85226856578083,264.52829514325595,295.522234713185,345.7525198372091,303.10410630673255,7.758308332930622e+101,327.1527907761271,358.6235641112692,269.63553457369306,269.3483000073317,342.76052607981063,331.77636917658174,56704519722.498405,337.4855433013461,325.59004808266576,330.0298051278315,331.7942329082898,321.49605883085684,209.34641382071365,324.13700868684674,35160020,8,0.6723199999999999
10.0,0.9,0.1,350.4480634143928,462.36730008031793,316.0603265418897,326.8151808496862,400.66111889327976,440.8657616983745,398.8029056064528,562.4565014814361,326.2453620618933,3414.855222841143,401.4226811844967,441.7227858462546,425.73971572040296,341.68328519600857,405.71068365611325,371.3798365154341,402.24920597200776,406.4225377050076,417.43908013588316,382.38076476885635,55.752520488432616,480.8717175239171,425.29701736569405,401.4403931910863,410.329741144933,377.07870226568406,373.65824323600543,586.0630766880369,388.16673358643186,555.0444298572731,408.0792506684064,840.7993427481942,400.8870494034944,662.763363005136,434.74534707254435,1000.1543883192367,398.77242158753313,1105.0381561121128,400.5545735725585,411.015849039449,403.74750558584805,398.7620961914622,398.77242337040695,377.83297718825855,4284.107039582217,612.5464900887946,578.0286796602238,373.51140490524597,555.0444987681399,587.016989650307,1052.7002878545559,555.0408195407579,569.950419056689,1518.7020037000023,647.5439911970282,694.7195085236302,inf,356.8433990177204,489.2390578842229,449.0391043258911,570.1778149368017,588.8895235875359,641.3011934730617,488.932705657048,612.1600708772316,649.661690446652,843.2186975842345,409.8229425047082,685.3789686231164,469.2813424892131,360.33875712884856,405.0747599576118,511.31778008877137,inf,596.4859565111549,827.1860366325225,564.2002126292941,1483.69896994368,683.9059824528453,556.2943240954728,inf,516.9983223461034,610.1936392181698,578.3277286634616,555.0490026975561,791.9937950571783,472.01711002480494,440.9513779357206,35160020,8,0.6513215599
15.0,0.9333333333333333,0.06666666666666667,526.4964025960646,544.8406833572366,374.5855327853136,382.82722645932364,436.98029124217715,514.2721785330469,432.03066382848374,668.0511523606795,438.6659986010052,6476.700296829615,437.60313661120813,515.2801579452057,481.244032089299,403.53938775934506,448.1010268931989,390.4971872556927,452.1516246116199,461.0740337657903,464.85038867687524,421.8448068741675,972.8325513367483,663.2995074865082,480.7524706721306,438.85418890238816,457.84951151617895,420.419720152281,402.57434368793236,774.6657719724647,424.9905908147965,717.5303556221731,447.91018829186464,1348.390345872098,456.2697015552692,785.3956189479321,496.49572131885697,1853.737094568321,431.95905212459445,2206.0465015872032,435.52446482964154,452.84628101425744,441.8023796839691,431.94750738068046,431.9590536340377,445.31324831640615,6939.808769165511,835.7122821833977,764.8721678408533,695.476300822935,717.5304545021767,778.417457026297,2048.6277611588735,717.5262279295506,745.3381744173638,7103.2224576013505,880.1993835376187,1039.7720004770836,inf,575.8531756636444,600.4680851266532,520.6209039530169,838.8622280049761,898.8176576752242,925.4963568728575,663.5211235025603,833.3740248481829,914.5584165910599,1355.732486870272,434.2258197491203,1022.0904099599774,656.2453330479763,404.65473189918356,425.3722093191038,679.8687888246477,inf,811.7806906355034,1325.4372427958706,866.0202648127968,3816.2887204855874,986.9301103069057,720.1310936527053,inf,631.8657279225405,843.3829154724643,767.3118740353458,717.5361005868782,1291.1062926743168,795.6055021018309,506.9009208006576,35160020,8,0.6447356335058557
20.0,0.95,0.05,702.3899581520839,604.7521708094649,416.4895299858818,419.5081390177572,461.0432583003378,566.3548601348982,453.79531002764793,743.7251538862712,521.8995652690865,10090.459427759442,461.55852051143484,567.4699440115517,520.1059730862901,452.06080742440497,475.82863663756535,402.39685630715576,487.0920187905692,499.36446243566684,496.4601034437958,449.68490465348737,10592.433062226899,813.3966036639197,519.5809663832188,463.7751970284064,489.86049733948744,451.17066172148685,423.0906434604274,931.3292712484385,450.4421450629369,848.9206535634556,474.34464766111864,1876.769996875803,495.4925005003153,867.9557867198998,539.9416930975738,2871.661891871338,453.69216244012466,3604.0151695882832,458.58139579067665,480.6497160867531,466.94693641705055,453.6798220681466,453.69216377050486,495.5994404750868,9374.20762201146,1028.9659796847502,920.2999714462316,1090.003270331643,848.9207781396216,937.9297822505566,3285.6715012987474,848.916188055199,889.1650974401334,22258.4434482253,1088.2337809114783,1362.9913326032097,inf,838.1887914815204,683.3540106565542,570.8295469277141,1099.249062196583,1208.7418534404603,1181.926494598097,823.0042071417769,1024.0645224170048,1151.6892761664108,1890.4866265974952,448.3150436762841,1337.8408101733587,832.519554436378,439.3648347993799,435.6155178913886,827.840191447157,inf,996.0080367379687,1843.8280585139926,1173.0677688448877,7238.656391237414,1265.061631861643,852.8309550297855,inf,717.4877128657835,1045.8006523558035,924.1494467379371,848.9273215075333,1799.8571323441358,1173.9891877887665,552.8428399897606,35160020,8,0.6415140775914581
25.0,0.96,0.04,878.2218755647948,652.0821846500397,449.1732312875791,446.51024738188875,478.89817017564246,606.753326523701,469.8194595385696,802.8076518960668,588.0319982320894,14169.68169131239,479.3257150890347,607.9514870772056,550.0395554499555,492.51092067628355,496.16819280840144,410.8647169748971,514.0052900095424,528.865407721019,519.9787871435062,471.2309094168305,68570.93973506629,941.2489020408634,549.4891009926796,482.33689000627305,513.8379154933391,475.0229450755652,439.0043218903852,1067.355666554314,469.91240814769003,960.7816722637514,493.9694758149802,2421.065048014281,525.8942937064826,929.6278460530584,573.5293211981918,4032.3831095123032,469.6906690059359,5274.556144648378,475.63348083584344,501.3071510049722,485.5563173589478,469.6777445622914,469.69067020450154,535.8774749069631,11612.467731435949,1202.1051057910115,1055.4009527011658,1550.6024909789023,960.7818195784498,1076.75922654684,4739.793742977376,960.7769666175361,1012.8776355303797,55159.22086417563,1279.9987228508558,1668.6013939832214,inf,1146.179551774051,749.787876665236,609.4805455170184,1353.7208445022854,1518.6631481922147,1417.811640276969,972.2997424973039,1194.2792505312293,1369.3355510468944,2442.3010470214695,457.78861611781315,1636.7344171961843,1001.2488573762143,468.32561599994824,441.7913481297625,962.431413629149,inf,1159.3257686783663,2377.638654912379,1484.1511115073627,11691.939204380607,1525.0274662922436,965.9419880650308,inf,786.1507278192415,1227.0472407491236,1060.1276255804648,960.7891113723801,2311.524822548511,1603.2530262871949,588.0496073896497,35160020,8,0.639603283141982
50.0,0.98,0.02,1757.1047501187581,804.2682078782868,551.5124764472362,523.8337495715534,530.6933397605601,732.2424249602249,515.7183635466477,988.2454134963924,800.2145732094866,40021.9381687915,530.8294220025762,733.6986452425028,642.249614796938,635.0986597884356,553.8316495413974,433.8511187457882,596.9123372991036,619.7622978209414,588.3391203489971,538.0322007254156,22815023.56080669,1397.8952113542352,641.6219322383404,536.5296358600222,584.2473100147876,549.114904531368,488.43672211480714,1582.6056989350536,529.4001540599435,1369.5110374432052,550.8852914200162,5304.68311645897,620.2738991296419,1109.419501872347,677.7598015504223,11574.057732011082,515.5041514186903,17223.035178451013,524.8358393940606,561.2720326820689,539.2515909403438,515.4895628692625,515.5041522397904,667.3857455081851,20774.791984695305,1898.3879001989553,1568.2075601930999,4717.101855077991,1369.511273238227,1604.8908319540162,14793.769321631054,1369.5057515796525,1473.4773804233016,1014245.1817411568,2101.698428713767,3016.7301210273968,454.4975295114275,3454.1557293786236,967.3284609999231,728.111572279094,2571.0493600513228,3068.241522315958,2406.1607595283526,1630.28481414227,1873.6077102392571,2284.5816882922127,5375.669506286796,481.0753513494831,2958.94935567404,1776.2463093063157,571.0343470840078,454.2094474883239,1524.9597758670343,inf,1800.7440121439977,5203.798336518872,3080.414080757543,47448.78547128104,2655.88154904583,1380.1389566017258,inf,1011.2140513887651,1951.4307143004203,1572.9834937815642,1369.5212027625341,4846.77796663341,4434.883181656371,695.3398831255488,35160020,8,0.6358303199128832
75.0,0.9866666666666667,0.013333333333333334,2635.8648015771864,897.174519807267,611.8396955216135,565.3230766015148,558.8934608080153,805.6488417948977,540.3539864742997,1097.9269295743645,928.0006914817355,72928.99334882425,558.8483567432975,807.2560173414544,695.8451084496251,731.4028386443395,584.2933393969208,445.47490466991985,645.1010740485727,672.6004566351183,625.5517020452306,577.0704213662049,681760520.9913665,1703.0326567378495,695.1730655729771,566.2581483513047,622.986127276213,592.4559224179652,517.3528225667343,1959.260399992775,563.7580494385867,1656.400230237932,581.8294065320116,8368.404621626953,675.4653168622627,1207.3410484861552,738.9628702035634,21445.93353117866,540.0862071536836,34417.98771866886,551.4640581663518,593.8952863159177,568.2771971689028,540.0707314016629,540.0862077722477,748.3099085999316,27883.693986255166,2443.70994593441,1943.9776335931808,9134.208723270569,1656.4005321783482,1992.8005625649155,28789.70099480134,1656.3947596904654,1803.715117716345,5857307.723102571,2798.6898417985312,4174.466972256769,458.5206872901259,7276.46104860256,1101.9276108150896,796.6283609522295,3732.780786779168,4617.790301201491,3208.9820523948592,2205.1509181110537,2400.7133524610695,3037.1025288669557,8503.234218889089,491.4664173742797,4098.500684214919,2483.911558560968,641.2625510107943,458.3683374107691,1989.32875810689,inf,2287.8591784262876,8204.483007091148,4721.297095015916,101809.28306137711,3620.2995675197803,1671.5820229342885,inf,1150.5640926968547,2511.7281189056835,1945.4560486102039,1656.4122405767348,7306.186914147634,8294.590656344948,756.8367428638711,35160020,8,0.6345868051211123
100.0,0.99,0.01,3514.5941693748764,964.9440187566471,654.8111054466038,593.3846897072071,578.1292256603601,857.7315233967489,557.0197072403914,1176.2410528882274,1019.9473117694351,111410.26534930221,577.9516841562624,859.4458034078002,733.7778020864339,806.0057834836487,604.6678726265429,453.077912848242,679.2072119654679,709.9981620726411,650.90221096561,604.7621530118834,7593689938.828693,1934.7428662068464,733.0745104551315,586.6289724032965,649.5282965999604,623.2068639871709,537.8691223392292,2265.550799413581,588.0155513090529,1883.7888933123381,602.9065874385739,11554.813146772072,714.6214033052407,1273.9922760570582,782.6027381583209,33219.4605765452,556.7124626766379,56250.70587905423,569.5646726121773,616.1207599541904,587.9824553584244,556.696389332687,556.7124631582153,807.3113238507796,33804.16541561414,2907.5750274512147,2250.02657994825,14651.449648731741,1883.7892495872795,2309.1791935719148,46174.079002044295,1883.783381465075,2068.993208169448,20685393.821374387,3425.8878283270983,5213.175001198067,460.53532885798785,12959.349480998937,1200.517215430678,844.8957396692159,4859.982575524992,6167.3199399595205,3904.367621634617,2732.0401962658166,2846.1931499216266,3697.068716047241,11763.484637149137,497.758129914911,5123.492916414356,3151.1156572923987,696.2681826690756,460.4514185711903,2400.0249252169706,inf,2693.0975179771226,11324.06650341481,6391.932979644601,171166.24911456378,4485.88056431693,1902.9378716262395,inf,1252.6244302955538,2983.0042356659305,2246.820663167379,1883.8023336823164,9688.655729996204,13093.183181776152,799.9743248187377,35160020,8,0.6339676587267709
