station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
25021650,edf_weibull,logexponnorm,0.07289272653956591,0.2177742891749185,Δo > Δ,1,39,1,1
25021650,edf_adamowski,logexponnorm,0.07510791641298364,0.2177742891749185,Δo > Δ,1,39,1,2
25021650,edf_chegodayev,logexponnorm,0.0755577011588553,0.2177742891749185,Δo > Δ,1,39,1,3
25021650,edf_jenkinson,logexponnorm,0.07564793222773253,0.2177742891749185,Δo > Δ,1,39,1,4
25021650,edf_beard,logexponnorm,0.07564793222773253,0.2177742891749185,Δo > Δ,1,39,1,5
25021650,edf_filliben,logexponnorm,0.07571566569871752,0.2177742891749185,Δo > Δ,1,39,1,6
25021650,edf_tukey,logexponnorm,0.0758588282344812,0.2177742891749185,Δo > Δ,1,39,1,7
25021650,edf_blom,logexponnorm,0.07623667558415193,0.2177742891749185,Δo > Δ,1,39,1,8
25021650,edf_cunnane,logexponnorm,0.07646415511099452,0.2177742891749185,Δo > Δ,1,39,1,9
25021650,edf_gringorten,logexponnorm,0.07682933185653928,0.2177742891749185,Δo > Δ,1,39,1,10
25021650,edf_hazen,logexponnorm,0.07737990602674538,0.2177742891749185,Δo > Δ,1,39,1,11
25021650,edf_california,loggumbel_r,0.08450382504155696,0.2177742891749185,Δo > Δ,1,39,1,12
