station,tr,n,bestfit_pdf,bestfit_val,norm,lognorm,gumbel_l,gumbel_r,gamma,pearson3,logpearson3,dweibull,kappa4,norm_pdiff,lognorm_pdiff,gumbel_l_pdiff,gumbel_r_pdiff,gamma_pdiff,pearson3_pdiff,logpearson3_pdiff,dweibull_pdiff,kappa4_pdiff
24027070,2.0,6,loglaplace_asymmetric,75.7544896816432,114.2,82.01161870309969,129.37607175929256,99.02392824070743,40.75125144579904,97.91815937309418,83.27380775834598,69.19999999999999,153.16620683033707,33.67,7.63,41.45,23.5,-85.89,22.63,9.03,-9.47,50.54
24027070,2.33,6,loglaplace_asymmetric,84.40316550069636,130.68471664084876,95.3166836213908,143.7179769788019,114.29886640601867,49.69550358165336,113.98540353417796,96.72827813086772,79.85936017310406,173.7743581848139,35.41,11.45,41.27,26.16,-69.84,25.95,12.74,-5.69,51.43
24027070,5.0,6,loglaplace_asymmetric,144.91038896597945,191.94636818339643,166.65460570473786,190.0506076462205,180.6601240376006,106.72931834198428,183.3060266040573,167.3373855017351,148.44378232778428,241.3733856585044,24.5,13.05,23.75,19.79,-35.77,20.95,13.4,2.38,39.96
24027070,10.0,6,loglaplace_asymmetric,236.6958521522569,232.58577246661943,241.42599350519487,215.84652889988524,234.7103890549245,169.10889282462588,238.06689376551785,238.9554717873597,218.09364495630223,270.95608481785223,-1.77,1.96,-9.66,-0.85,-39.97,0.58,0.95,-8.53,12.64
24027070,15.0,6,loglaplace_asymmetric,315.38494982815416,252.8656799765141,290.47566859538966,227.5288870836634,265.2050918359496,208.35291033276616,268.1263107466681,284.8282947905646,260.6833507585293,280.74786951613487,-24.72,-8.58,-38.61,-18.92,-51.37,-17.63,-10.73,-20.98,-12.34
24027070,20.0,6,loglaplace_asymmetric,386.6177354560549,266.1464939660236,327.8786302416028,234.80061620640535,286.5567009279613,237.0890074738533,288.8196315685213,319.2923976627349,291.544996132058,285.6132137625713,-45.27,-17.91,-64.66,-34.92,-63.07,-33.86,-21.09,-32.61,-35.36
24027070,25.0,6,loglaplace_asymmetric,452.7743259331726,275.9229680521399,358.4563588058226,239.97521297532683,303.003042188788,259.80175635976946,304.56869372915384,347.163165913831,315.8065542656062,288.51749784083586,-64.09,-26.31,-88.68,-49.43,-74.28,-48.66,-30.42,-43.37,-56.93
24027070,50.0,6,loglaplace_asymmetric,739.5591556556811,303.91897641458183,462.7264904366149,254.0218966655665,353.6664335527623,332.2572295326528,352.1201499877597,440.3626877132071,392.7361779464763,294.2733776840796,-143.34,-59.83,-191.14,-109.11,-122.59,-110.03,-67.94,-88.31,-151.32
24027070,75.0,6,loglaplace_asymmetric,985.424227254231,318.9407429706054,530.6685772133351,261.125037286997,383.11392817583146,375.7161127082901,379.15220673021753,499.7322417513128,438.69822099747694,296.16691076433216,-208.97,-85.69,-277.38,-157.21,-162.28,-159.9,-97.19,-124.62,-232.73
24027070,100.0,6,loglaplace_asymmetric,1207.9919584373044,329.10082607590414,582.1916442142217,265.7711342289916,403.9557343875804,406.9398383464171,398.0434814253113,544.1201461494608,471.6886240547019,297.1057487455484,-267.06,-107.49,-354.52,-199.04,-196.85,-203.48,-122.01,-156.1,-306.59
24027070,200.0,6,loglaplace_asymmetric,1973.1275861975544,352.14714940963364,718.3714553411529,275.8698729259792,454.0615380111042,483.2719716229577,442.73150480034417,659.0996310250498,552.341172715614,298.4984458155615,-460.31,-174.67,-615.24,-334.55,-308.29,-345.67,-199.37,-257.23,-561.02
24027070,250.0,6,loglaplace_asymmetric,2310.7618479191374,359.1900115493822,766.0282903090343,278.84117454148384,470.1698196832081,508.1298576636543,456.90052856533976,698.610256061359,578.6276634602607,298.77361916348093,-543.33,-201.65,-728.7,-391.47,-354.76,-405.75,-230.77,-299.35,-673.42
24027070,500.0,6,loglaplace_asymmetric,3774.386009291241,380.07568532358783,926.7655736809708,287.3589800564955,520.1666315634856,586.0781116419079,500.342899400899,829.4275350538437,661.1859205824344,299.318221596609,-893.06,-307.26,-1213.47,-625.61,-544.01,-654.36,-355.06,-470.85,-1160.99
24027070,750.0,6,loglaplace_asymmetric,5029.173647735503,391.677951006069,1030.2076292965687,291.91129303615827,549.3946956006209,632.1211083103956,525.40215290475,911.8158390796984,710.0686293495844,299.4971641371439,-1184.01,-388.17,-1622.84,-815.4,-695.6,-857.2,-451.56,-608.27,-1579.21
24027070,1000.0,6,loglaplace_asymmetric,6165.061864753443,399.66610881905046,1108.0635801014369,294.9751562098224,570.1272949622102,664.962503261941,543.0426296667109,972.9885694007656,744.996676628645,299.58584625315933,-1442.55,-456.38,-1990.03,-981.35,-827.13,-1035.28,-533.62,-727.53,-1957.86
