station,tr,n,bestfit_pdf,bestfit_val,norm,lognorm,gumbel_l,gumbel_r,gamma,pearson3,logpearson3,dweibull,kappa4,norm_pdiff,lognorm_pdiff,gumbel_l_pdiff,gumbel_r_pdiff,gamma_pdiff,pearson3_pdiff,logpearson3_pdiff,dweibull_pdiff,kappa4_pdiff
29065501,2.0,5,dweibull,68.30669210870494,61.56,49.65460556165625,67.05173149138048,56.06826850861951,61.324460969753545,61.83007049890872,54.61058091251819,68.30669210870494,54.65200707947346,-10.96,-37.56,-1.87,-21.83,-11.39,-10.47,-25.08,0.0,-24.98
29065501,2.33,5,dweibull,85.6266461141933,67.52528791764578,56.58318042445337,72.24160498365272,61.595776567479646,67.29820291550186,67.78607761117482,61.79666699964702,85.6266461141933,61.15671487208873,-26.81,-51.33,-18.53,-39.01,-27.23,-26.32,-38.56,0.0,-40.01
29065501,5.0,5,dweibull,102.7582771072743,89.69390614285838,91.93972953247058,89.00789147402614,85.60977795883582,89.63380202220083,89.769779121912,92.92819592679189,102.7582771072743,82.74664255755269,-14.57,-11.77,-15.45,-20.03,-14.64,-14.47,-10.58,0.0,-24.18
29065501,10.0,5,dweibull,111.0735128853641,104.39999740501004,126.86827852353478,98.3426043921552,105.1688277064324,104.56880468782084,104.22275091145752,116.75062183965684,111.0735128853641,92.37137149212732,-6.39,12.45,-12.95,-5.61,-6.22,-6.57,4.86,0.0,-20.25
29065501,15.0,5,dweibull,114.92537105889478,111.7386426408022,148.98447564252376,102.5700734862017,116.2038782939008,112.05700942961744,111.39627291557514,129.2855621912891,114.92537105889478,95.60008433973344,-2.85,22.86,-12.05,1.1,-2.56,-3.17,11.11,0.0,-20.21
29065501,20.0,5,dweibull,117.37563303169904,116.54454139867391,165.51732024143567,105.20147800599769,123.93033780872535,116.97361460144498,116.0800576798857,137.6472383586845,117.37563303169904,97.2172615172749,-0.71,29.09,-11.57,5.29,-0.34,-1.12,14.73,0.0,-20.74
29065501,25.0,5,dweibull,119.14897759538792,120.08233243346622,178.8490392759483,107.0739978834608,129.8817389125564,120.5993610202122,119.5208934325854,143.8542893007697,119.14897759538792,98.18820831718875,0.78,33.38,-11.28,8.26,1.2,0.31,17.17,0.0,-21.35
29065501,50.0,5,dweibull,124.10845267874976,130.21318600318745,223.2685304205949,112.1570402144853,148.21518818893503,131.01242130675791,129.34100994063274,161.72615184032452,124.10845267874976,100.13061327273536,4.69,44.41,-10.66,16.26,5.27,4.05,23.26,0.0,-23.95
29065501,75.0,5,dweibull,126.70820395582749,135.6490794122554,251.49014656111856,114.7274379865259,158.87128787854962,136.61829463755112,134.5899723107537,171.28288940588888,126.70820395582749,100.77777939465756,6.59,49.62,-10.44,20.24,7.25,5.86,26.02,0.0,-25.73
29065501,100.0,5,dweibull,128.44570006021914,139.32568619360163,272.5738752868872,116.40871080158986,166.4132661536739,140.41722314785625,138.1321590578337,177.69748733579775,128.44570006021914,101.10115203706924,7.81,52.88,-10.34,22.82,8.53,7.01,27.72,0.0,-27.05
29065501,200.0,5,dweibull,132.33140199092702,147.6654081993889,327.184025387642,120.06311901770223,184.54494238878016,149.05642864117226,146.14310681595356,192.0067450137594,132.33140199092702,101.5856771612198,10.38,59.55,-10.22,28.29,11.22,9.45,31.08,0.0,-30.27
29065501,250.0,5,dweibull,133.5048034740222,150.21399313070526,345.9618809680387,121.1383373555613,190.37401061762228,151.70263626353744,148.58461692648387,196.2921690887454,133.5048034740222,101.68245098323632,11.12,61.41,-10.21,29.87,12.0,10.15,31.99,0.0,-31.3
29065501,500.0,5,dweibull,136.94960798855274,157.77184566354356,408.22613464772274,124.220656780916,208.4662462518814,159.56680136105751,155.80678486178658,208.6931878363935,136.94960798855274,101.87575152985892,13.2,66.45,-10.25,34.31,14.17,12.1,34.38,0.0,-34.43
29065501,750.0,5,dweibull,138.84222260009983,161.97033186145114,447.53494462771386,125.86799220114594,219.0429410811304,163.94631991164147,159.8070739082176,215.3531240244595,138.84222260009983,101.94006801828752,14.28,68.98,-10.31,36.61,15.31,13.12,35.53,0.0,-36.2
29065501,1000.0,5,dweibull,140.13713639978022,164.86098884538416,476.7778783084041,126.97670558514729,226.5454009151449,166.96613465257246,162.55641097126022,219.83167116078656,140.13713639978022,101.9721892548444,15.0,70.61,-10.36,38.14,16.07,13.79,36.25,0.0,-37.43
