station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
21255170,edf_california,logalpha,0.07278209769180627,0.32102346734599996,Δo > Δ,1,18,1,1
21255170,edf_weibull,skewnorm,0.07283152146648658,0.32102346734599996,Δo > Δ,1,18,1,2
21255170,edf_adamowski,logpearson3,0.07357251298620326,0.32102346734599996,Δo > Δ,1,18,1,3
21255170,edf_filliben,johnsonsu,0.07416572941912669,0.32102346734599996,Δo > Δ,1,18,1,4
21255170,edf_tukey,johnsonsu,0.07419455094398075,0.32102346734599996,Δo > Δ,1,18,1,5
21255170,edf_beard,johnsonsu,0.07427682449962925,0.32102346734599996,Δo > Δ,1,18,1,6
21255170,edf_jenkinson,johnsonsu,0.07427682449962925,0.32102346734599996,Δo > Δ,1,18,1,7
21255170,edf_chegodayev,johnsonsu,0.07442466951074711,0.32102346734599996,Δo > Δ,1,18,1,8
21255170,edf_blom,logloggamma,0.07574654381490253,0.32102346734599996,Δo > Δ,1,18,1,9
21255170,edf_gringorten,invgamma,0.07634331192698562,0.32102346734599996,Δo > Δ,1,18,1,10
21255170,edf_cunnane,logloggamma,0.07672501739611581,0.32102346734599996,Δo > Δ,1,18,1,11
21255170,edf_hazen,invgamma,0.0770971857702327,0.32102346734599996,Δo > Δ,1,18,1,12
