station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
2403500083,edf_adamowski,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,1
2403500083,edf_cunnane,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,2
2403500083,edf_jenkinson,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,3
2403500083,edf_filliben,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,4
2403500083,edf_gringorten,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,5
2403500083,edf_tukey,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,6
2403500083,edf_blom,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,7
2403500083,edf_chegodayev,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,8
2403500083,edf_beard,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,9
2403500083,edf_weibull,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,10
2403500083,edf_hazen,loggumbel_r,0.21851219794232823,0.5865427407550001,Δo > Δ,1,5,1,11
2403500083,edf_california,loggumbel_r,0.3185121979423282,0.5865427407550001,Δo > Δ,1,5,1,12
