station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
48015050,edf_blom,logweibull_min,0.0865139679305511,0.4472608134160001,Δo > Δ,1,8,1,1
48015050,edf_tukey,logweibull_min,0.0879602958982567,0.4472608134160001,Δo > Δ,1,8,1,2
48015050,edf_filliben,logweibull_min,0.08909598029753941,0.4472608134160001,Δo > Δ,1,8,1,3
48015050,edf_cunnane,logweibull_min,0.08910081198080988,0.4472608134160001,Δo > Δ,1,8,1,4
48015050,edf_jenkinson,logweibull_min,0.08963094028966477,0.4472608134160001,Δo > Δ,1,8,1,5
48015050,edf_beard,logweibull_min,0.08963094028966477,0.4472608134160001,Δo > Δ,1,8,1,6
48015050,edf_chegodayev,logweibull_min,0.09034124827920904,0.4472608134160001,Δo > Δ,1,8,1,7
48015050,edf_gringorten,logweibull_min,0.09330602644674768,0.4472608134160001,Δo > Δ,1,8,1,8
48015050,edf_adamowski,logweibull_min,0.09384264883943315,0.4472608134160001,Δo > Δ,1,8,1,9
48015050,edf_hazen,logweibull_min,0.0997715436881269,0.4472608134160001,Δo > Δ,1,8,1,10
48015050,edf_weibull,nakagami,0.1111073857911218,0.4472608134160001,Δo > Δ,1,8,1,11
48015050,edf_california,logdweibull,0.1452991143278064,0.4472608134160001,Δo > Δ,1,8,1,12
