station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
11037030,edf_jenkinson,laplace_asymmetric,0.0947487863310247,0.417612680231,Δo > Δ,1,9,1,8
11037030,edf_beard,laplace_asymmetric,0.0947487863310247,0.417612680231,Δo > Δ,1,9,1,9
11037030,edf_chegodayev,laplace_asymmetric,0.0954292744678482,0.417612680231,Δo > Δ,1,9,1,10
11037030,edf_adamowski,laplace_asymmetric,0.0987887369538504,0.417612680231,Δo > Δ,1,9,1,11
11037030,edf_weibull,genlogistic,0.1034944920912649,0.417612680231,Δo > Δ,1,9,1,12
11045010,edf_hazen,logmielke,0.082900162656064,0.484420539261,Δo > Δ,1,7,1,1
11045010,edf_gringorten,logmielke,0.0877155719658554,0.484420539261,Δo > Δ,1,7,1,2
11045010,edf_cunnane,logmielke,0.090836670592572,0.484420539261,Δo > Δ,1,7,1,3
11045010,edf_blom,logmielke,0.0927523794048325,0.484420539261,Δo > Δ,1,7,1,4
11045010,edf_tukey,logmielke,0.095887175643077,0.484420539261,Δo > Δ,1,7,1,5
11045010,edf_adamowski,alpha,0.0968897281268762,0.484420539261,Δo > Δ,1,7,1,6
11045010,edf_filliben,logmielke,0.0970597979969621,0.484420539261,Δo > Δ,1,7,1,7
11045010,edf_jenkinson,logmielke,0.0976117383432495,0.484420539261,Δo > Δ,1,7,1,8
11045010,edf_beard,logmielke,0.0976117383432495,0.484420539261,Δo > Δ,1,7,1,9
11045010,edf_chegodayev,alpha,0.0979831710403643,0.484420539261,Δo > Δ,1,7,1,10
11045010,edf_weibull,alpha,0.1135563947935429,0.484420539261,Δo > Δ,1,7,1,11
11045010,edf_california,invgauss,0.138565185664331,0.484420539261,Δo > Δ,1,7,1,12
11047040,edf_california,expon,0.0777687384442518,0.3260541228310003,Δo > Δ,1,17,1,1
11047040,edf_adamowski,logbetaprime,0.0834735179014548,0.3260541228310003,Δo > Δ,1,17,1,2
11047040,edf_weibull,logbetaprime,0.0834735179014548,0.3260541228310003,Δo > Δ,1,17,1,3
11047040,edf_chegodayev,logbetaprime,0.0835323699636388,0.3260541228310003,Δo > Δ,1,17,1,4
11047040,edf_jenkinson,logbetaprime,0.0839291796140496,0.3260541228310003,Δo > Δ,1,17,1,5
11047040,edf_beard,logbetaprime,0.0839291796140496,0.3260541228310003,Δo > Δ,1,17,1,6
11047040,edf_filliben,logbetaprime,0.0842273866936844,0.3260541228310003,Δo > Δ,1,17,1,7
11047040,edf_tukey,logbetaprime,0.0848586299105885,0.3260541228310003,Δo > Δ,1,17,1,8
11047040,edf_blom,logbetaprime,0.0865308707132641,0.3260541228310003,Δo > Δ,1,17,1,9
11047040,edf_cunnane,logbetaprime,0.0875419930590679,0.3260541228310003,Δo > Δ,1,17,1,10
11047040,edf_gringorten,logbetaprime,0.0891720734763685,0.3260541228310003,Δo > Δ,1,17,1,11
11047040,edf_hazen,logbetaprime,0.0916459602273306,0.3260541228310003,Δo > Δ,1,17,1,12
11080010,edf_cunnane,logfisk,0.070012141536252,0.530385761606,Δo > Δ,1,6,1,1
11080010,edf_blom,logfisk,0.0720639234562275,0.530385761606,Δo > Δ,1,6,1,2
11080010,edf_gringorten,logfisk,0.0731746968809706,0.530385761606,Δo > Δ,1,6,1,3
11080010,edf_tukey,logfisk,0.0773270813509643,0.530385761606,Δo > Δ,1,6,1,4
11080010,edf_hazen,logfisk,0.0780766576652843,0.530385761606,Δo > Δ,1,6,1,5
11080010,edf_filliben,logfisk,0.0792909462370602,0.530385761606,Δo > Δ,1,6,1,6
11080010,edf_beard,logfisk,0.0802143936756632,0.530385761606,Δo > Δ,1,6,1,7
11080010,edf_jenkinson,logfisk,0.0802143936756632,0.530385761606,Δo > Δ,1,6,1,8
11080010,edf_chegodayev,logfisk,0.0814389234562275,0.530385761606,Δo > Δ,1,6,1,9
11080010,edf_adamowski,logfisk,0.0874485388408429,0.530385761606,Δo > Δ,1,6,1,10
11080010,edf_weibull,logbetaprime,0.1120505552634303,0.530385761606,Δo > Δ,1,6,1,11
11080010,edf_california,dweibull,0.1226562300861343,0.530385761606,Δo > Δ,1,6,1,12
11105020,edf_blom,laplace_asymmetric,0.046656659374025,0.4472608134160001,Δo > Δ,1,8,1,1
11105020,edf_cunnane,laplace_asymmetric,0.0476924433259283,0.4472608134160001,Δo > Δ,1,8,1,2
11105020,edf_tukey,laplace_asymmetric,0.0494780084656423,0.4472608134160001,Δo > Δ,1,8,1,3
11105020,edf_gringorten,laplace_asymmetric,0.0494946780970445,0.4472608134160001,Δo > Δ,1,8,1,4
11105020,edf_filliben,laplace_asymmetric,0.050613692864925,0.4472608134160001,Δo > Δ,1,8,1,5
11105020,edf_jenkinson,laplace_asymmetric,0.0511486528570504,0.4472608134160001,Δo > Δ,1,8,1,6
11105020,edf_beard,laplace_asymmetric,0.0511486528570504,0.4472608134160001,Δo > Δ,1,8,1,7
11105020,edf_chegodayev,laplace_asymmetric,0.0518589608465946,0.4472608134160001,Δo > Δ,1,8,1,8
11105020,edf_hazen,laplace_asymmetric,0.0522656140576356,0.4472608134160001,Δo > Δ,1,8,1,9
11105020,edf_adamowski,laplace_asymmetric,0.0564976952162955,0.4472608134160001,Δo > Δ,1,8,1,10
11105020,edf_weibull,fisk,0.0769098828959546,0.4472608134160001,Δo > Δ,1,8,1,11
11105020,edf_california,laplace,0.1074047293934106,0.4472608134160001,Δo > Δ,1,8,1,12
11117050,edf_weibull,logbetaprime,0.1256254374800867,0.5865427407550001,Δo > Δ,1,5,1,1
11117050,edf_hazen,logloggamma,0.1427173269237444,0.5865427407550001,Δo > Δ,1,5,1,2
11117050,edf_gringorten,logloggamma,0.1474048269237445,0.5865427407550001,Δo > Δ,1,5,1,3
11117050,edf_cunnane,logloggamma,0.1504096346160522,0.5865427407550001,Δo > Δ,1,5,1,4
11117050,edf_blom,logloggamma,0.152241136447554,0.5865427407550001,Δo > Δ,1,5,1,5
11117050,edf_adamowski,logbetaprime,0.1535453055890551,0.5865427407550001,Δo > Δ,1,5,1,6
11117050,edf_tukey,logloggamma,0.1552173269237445,0.5865427407550001,Δo > Δ,1,5,1,7
11117050,edf_filliben,logloggamma,0.1563240370821787,0.5865427407550001,Δo > Δ,1,5,1,8
11117050,edf_beard,logloggamma,0.1568437209757891,0.5865427407550001,Δo > Δ,1,5,1,9
