Id,Label,Code,Year,Month,Day,Date,Value
0,VVAG_MEDIA_M,2120629,1991,01,01,1991-01-01,2.3
1,VVAG_MEDIA_M,2120629,1992,01,01,1992-01-01,2.6
2,VVAG_MEDIA_M,2120629,1993,01,01,1993-01-01,2.6
3,VVAG_MEDIA_M,2120629,1994,01,01,1994-01-01,2.2
4,VVAG_MEDIA_M,2120629,1995,01,01,1995-01-01,2.7
5,VVAG_MEDIA_M,2120629,1996,01,01,1996-01-01,2.2
6,VVAG_MEDIA_M,2120629,1997,01,01,1997-01-01,2.1
7,VVAG_MEDIA_M,2120629,1998,01,01,1998-01-01,
8,VVAG_MEDIA_M,2120629,1999,01,01,1999-01-01,2.2
9,VVAG_MEDIA_M,2120629,2000,01,01,2000-01-01,2.4
10,VVAG_MEDIA_M,2120629,2001,01,01,2001-01-01,2.8
11,VVAG_MEDIA_M,2120629,2002,01,01,2002-01-01,2.6
12,VVAG_MEDIA_M,2120629,2003,01,01,2003-01-01,2.5
13,VVAG_MEDIA_M,2120629,2005,01,01,2005-01-01,
14,VVAG_MEDIA_M,2120629,2006,01,01,2006-01-01,2.5
15,VVAG_MEDIA_M,2120629,2007,01,01,2007-01-01,2.5
16,VVAG_MEDIA_M,2120629,2008,01,01,2008-01-01,2.3
17,VVAG_MEDIA_M,2120629,2009,01,01,2009-01-01,2.1
18,VVAG_MEDIA_M,2120629,2010,01,01,2010-01-01,2.7
19,VVAG_MEDIA_M,2120629,2011,01,01,2011-01-01,2.3
20,VVAG_MEDIA_M,2120629,2012,01,01,2012-01-01,2.1
21,VVAG_MEDIA_M,2120629,2013,01,01,2013-01-01,2.6
22,VVAG_MEDIA_M,2120629,2014,01,01,2014-01-01,2.6
23,VVAG_MEDIA_M,2120565,1991,01,01,1991-01-01,
24,VVAG_MEDIA_M,2120565,1992,01,01,1992-01-01,2.2
25,VVAG_MEDIA_M,2120565,1993,01,01,1993-01-01,
26,VVAG_MEDIA_M,2120565,1994,01,01,1994-01-01,2.0
