station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
11037030,edf_cunnane,maxwell,0.1122056297453697,0.484420539261,Δo > Δ,1,7,1,8
11037030,edf_gringorten,laplace_asymmetric,0.1145575915932242,0.484420539261,Δo > Δ,1,7,1,9
11037030,edf_weibull,invgauss,0.1154548908294307,0.484420539261,Δo > Δ,1,7,1,10
11037030,edf_hazen,laplace_asymmetric,0.11696529624812,0.484420539261,Δo > Δ,1,7,1,11
11037030,edf_california,moyal,0.1424197269693551,0.484420539261,Δo > Δ,1,7,1,12
11045010,edf_hazen,fisk,0.0931267520581613,0.530385761606,Δo > Δ,1,6,1,1
11045010,edf_tukey,logfisk,0.0978511613389905,0.530385761606,Δo > Δ,1,6,1,2
11045010,edf_gringorten,fisk,0.0980287128424751,0.530385761606,Δo > Δ,1,6,1,3
11045010,edf_filliben,logfisk,0.0982355137945476,0.530385761606,Δo > Δ,1,6,1,4
11045010,edf_beard,logfisk,0.0987895822577094,0.530385761606,Δo > Δ,1,6,1,5
11045010,edf_jenkinson,logfisk,0.0987895822577094,0.530385761606,Δo > Δ,1,6,1,6
11045010,edf_blom,logfisk,0.0989037929179378,0.530385761606,Δo > Δ,1,6,1,7
11045010,edf_chegodayev,logfisk,0.099524300126048,0.530385761606,Δo > Δ,1,6,1,8
11045010,edf_cunnane,logfisk,0.0995489542082604,0.530385761606,Δo > Δ,1,6,1,9
11045010,edf_adamowski,logfisk,0.1031300693568173,0.530385761606,Δo > Δ,1,6,1,10
11045010,edf_weibull,logfisk,0.1196135858403337,0.530385761606,Δo > Δ,1,6,1,11
11045010,edf_california,invgauss,0.1275823522525745,0.530385761606,Δo > Δ,1,6,1,12
11047040,edf_california,loggompertz,0.09051351932987,0.351490473531,Δo > Δ,1,13,1,1
11047040,edf_hazen,nakagami,0.0970790546672167,0.351490473531,Δo > Δ,1,13,1,2
11047040,edf_gringorten,nakagami,0.0991897488510815,0.351490473531,Δo > Δ,1,13,1,3
11047040,edf_cunnane,nakagami,0.1005755581637202,0.351490473531,Δo > Δ,1,13,1,4
11047040,edf_blom,nakagami,0.1014331910968249,0.351490473531,Δo > Δ,1,13,1,5
11047040,edf_tukey,nakagami,0.1028482854364475,0.351490473531,Δo > Δ,1,13,1,6
11047040,edf_filliben,nakagami,0.1033813943028897,0.351490473531,Δo > Δ,1,13,1,7
11047040,edf_jenkinson,nakagami,0.1036330387996763,0.351490473531,Δo > Δ,1,13,1,8
11047040,edf_beard,nakagami,0.1036330387996763,0.351490473531,Δo > Δ,1,13,1,9
