Clase,Natural Breaks (Jenks),Equal Interval,Quantile,Geometrical Interval,Standard Deviation
1,2380.173697,16308.67596,132.666736,191.655691,2612.35632
2,9038.960497,32601.61906,287.448131,1390.204041,5810.910895
3,20170.29529,48894.56217,699.363055,9555.818893,9009.46547
4,65187.50527,65187.50527,65187.50527,65187.50527,65187.50527
